mapID,mapSize,chunkCount,numberOfWorkers,startTime,endTime,totalDuration
084008e9-fccf-45f1-bb46-167ad1b72d23,128,1,1,2025-06-12 13:11:53.478000,2025-06-12 13:29:26.484000,1053006
0a3c2b79-eea4-461f-9c60-48a7a3e0d8c5,192,1,1,2025-06-12 16:37:54.759000,,
1359e578-5e3a-4536-a449-ec66911a937f,112,4,1,2025-06-12 13:09:02.488000,2025-06-12 13:11:06.179000,123691
2025902b-a932-449d-82c1-7cdda2cd1e90,160,1,1,2025-06-12 14:11:16.469000,2025-06-12 14:48:05.149000,2208680
245e2812-4dec-432b-8c71-a3d5a27be83e,16,1,1,2025-06-12 12:35:00.519000,2025-06-12 12:35:00.834000,315
26b006aa-5380-4143-88fa-91137b93e7ca,144,1,1,2025-06-12 13:34:30.404000,2025-06-12 14:03:21.996000,1731592
2fe48aff-fc9c-4788-9f5c-0558491b2de3,128,4,1,2025-06-12 13:30:13.974000,2025-06-12 13:33:41.070000,207096
3f1aced0-75de-47e4-b2aa-d0f05ec6f55a,80,1,1,2025-06-12 12:42:59.118000,2025-06-12 12:45:42.092000,162974
50222d89-6a9c-4ce7-9449-0798aeee61c2,112,4,2,2025-06-12 10:22:03.116000,2025-06-12 10:23:13.456000,70340
50dab313-d285-48cb-9271-20abf25f0025,16,4,2,2025-06-12 10:16:15.273000,2025-06-12 10:16:16.245000,972
5339a234-82c6-4734-bb48-9cf5b189c238,240,4,2,2025-06-12 11:30:50.392000,2025-06-12 11:57:58.325000,1627933
561fa268-9a79-4df8-91ec-728846efebaa,48,1,1,2025-06-12 12:38:02.030000,2025-06-12 12:38:22.766000,20736
57926632-b258-4dc7-ae46-ff22abe1035a,208,4,2,2025-06-12 10:55:14.377000,2025-06-12 11:10:03.405000,889028
5e66dcae-7c04-4c65-b174-e4a29a4d3291,32,4,1,2025-06-12 12:37:16.645000,2025-06-12 12:37:19.103000,2458
608e1cd7-5c4c-4df4-9b14-8c1a3336395f,96,1,1,2025-06-12 12:47:55.845000,2025-06-12 12:53:05.061000,309216
63a9e75f-694b-4b7e-b10f-36bd00d53fab,32,1,1,2025-06-12 12:36:31.258000,2025-06-12 12:36:36.209000,4951
6832e660-18b1-4ec6-ba29-8272d2d6a4ba,256,4,2,2025-06-12 11:58:43.786000,2025-06-12 12:32:43.583000,2039797
68927def-81e9-4fa5-b542-623763581953,64,1,1,2025-06-12 12:39:52.904000,2025-06-12 12:41:11.880000,78976
6ec87ff8-6407-47b6-b27f-3a384d8a9875,192,4,2,2025-06-12 10:44:00.822000,2025-06-12 10:54:22.453000,621631
6f5addf7-6d6c-4c97-8933-9fb73989b04d,128,4,2,2025-06-12 10:24:03.899000,2025-06-12 10:26:10.122000,126223
747bb2ce-1c19-4f21-97d2-22f35927e024,176,4,1,2025-06-12 16:22:45.126000,2025-06-12 16:37:05.651000,860525
76d5b300-191f-4889-8536-274b58f1689c,176,4,2,2025-06-12 10:36:33.370000,2025-06-12 10:43:14.687000,401317
7dd53e15-369f-44eb-811f-2b7b8d865d75,64,4,2,2025-06-12 10:18:31.514000,2025-06-12 10:18:38.791000,7277
9500e8c6-80c8-419f-b51e-d0d1b640c0fc,64,4,1,2025-06-12 12:41:58.698000,2025-06-12 12:42:11.691000,12993
9e828cc3-5229-415e-89ec-380ff5d0124d,96,4,1,2025-06-12 12:53:52.763000,2025-06-12 12:55:00.895000,68132
a94ffa9e-306b-4650-b40c-cd7913ad0dbe,32,4,2,2025-06-12 10:17:00.682000,2025-06-12 10:17:02.004000,1322
ab95cc3c-2927-4d59-b0c5-3c58669c2df7,80,4,1,2025-06-12 12:46:30.275000,2025-06-12 12:47:03.256000,32981
ac9df091-4be7-4204-999b-ba777be720e6,112,1,1,2025-06-12 12:55:48.489000,2025-06-12 13:08:19.566000,751077
b71d6ccd-9884-4db9-8e6e-22ee883274cd,16,4,1,2025-06-12 12:35:45.898000,2025-06-12 12:35:47.899000,2001
bdc19b39-bf01-4dea-a0a7-87622383ee54,144,4,1,2025-06-12 14:04:09.206000,2025-06-12 14:10:25.877000,376671
c0326251-b851-4cbb-8732-23bf94af410c,96,4,2,2025-06-12 10:20:32.469000,2025-06-12 10:21:12.206000,39737
c269c245-e1fa-4195-8033-f789e2d589b5,176,1,1,2025-06-12 14:59:05.748000,2025-06-12 16:21:58.021000,4972273
d2c3eb29-abdb-4795-bc0b-6b59044c7af7,48,4,1,2025-06-12 12:39:07.518000,2025-06-12 12:39:11.886000,4368
d455f3bc-a73f-40ff-89af-b32b6543818c,160,4,1,2025-06-12 14:48:57.604000,2025-06-12 14:58:20.438000,562834
d6bafb4b-2316-40a2-ae07-5c0e2fdb9b13,160,4,2,2025-06-12 10:31:01.494000,2025-06-12 10:35:42.194000,280700
dba243b3-3e04-4b89-b325-0fd8e94f41a5,224,4,2,2025-06-12 11:10:49.285000,2025-06-12 11:30:02.812000,1153527
e41eb1b0-57f7-4d2a-9f44-51a0910c0854,80,4,2,2025-06-12 10:19:26.965000,2025-06-12 10:19:45.226000,18261
e859ac4e-ea4d-4fad-a51f-78e02b564941,144,4,2,2025-06-12 10:27:00.020000,2025-06-12 10:30:14.908000,194888
ede2f8df-7377-4204-ae70-c8be6805e5b5,48,4,2,2025-06-12 10:17:46.102000,2025-06-12 10:17:48.020000,1918
