SIZE,PARTS,WORKER,p=z²,p | k²,uuid,total
16,1,1,OK,OK
16,4,1,OK,OK
16,4,2,OK,OK
16,4,4,OK,OK,b7c1f6d4-d4f8-4ee1-a725-45c621faa60e,401
16,16,4,OK,OK,8d788c0e-71e1-418e-8297-a27547bc4e54,3270
16,16,8,OK,OK,33f88f52-1760-4411-9015-e672ca6303cd,2639
16,16,16,OK,OK,562447ba-839f-4e07-9a46-eacaa87714bd,2220
32,1,1,OK,OK
32,4,1,OK,OK
32,4,2,OK,OK
32,4,4,OK,OK,2e1ef648-d20f-468b-abc6-aecb4adba9b0,484
32,16,4,OK,OK,ab1d90c6-791e-4dac-87f4-b03c3f2d98a2,3428
32,16,8,OK,OK,e3710044-6afc-437d-86b3-e0a9cdecf289,2694
32,16,16,OK,OK,e0536674-cbb7-4be6-88b2-d40a9f236a79,2020
32,64,16,OK,OK,c4be22f3-0a1c-45f8-a5b9-ceec1ca83d5e,12730
32,64,32,OK,OK,c112d5b2-38e0-4d51-9b71-e4f76698512d,12446
32,64,64,OK,OK,cecab736-24fc-4884-82f2-198845406d46,8368
48,1,1,OK,OK
48,4,1,OK,OK
48,4,2,OK,OK
48,4,4,OK,OK,295c7d04-99c5-4ef0-969e-0bc19ee26cfa,1202
48,16,4,OK,OK,f75fc05d-19b8-4813-a892-734566640397,3037
48,16,8,OK,OK,0dc2f5cd-22ad-4449-b44c-6ea001e7cd68,3266
48,16,16,OK,OK,9993d62f-b67f-4ba4-a055-af9c9c2954b5,2210
48,36,9,OK,OK,659ffa22-bd47-4032-805f-bb5576c38038,7455
48,36,18,OK,OK,0b4d6c15-afa1-4885-b438-0c3e044d2004,7916
48,36,36,OK,OK,2c18b45b-bae4-4cde-ba02-51cf419a1f12,4744
48,64,16,OK,OK,f9a31d2a-9294-43be-8388-9aebe61ac72d,15968
48,64,32,OK,OK,7889eb12-c6d0-43c8-b812-5d02e685138d,12389
48,64,64,OK,OK,fbe5f416-c99e-4346-ace5-c6dc580060a5,8766
64,1,1,OK,OK
64,4,1,OK,OK
64,4,2,OK,OK
64,4,4,OK,OK,c93b9067-f888-4244-9724-cacc2ae302ad,3511
64,16,4,OK,OK,360f73d9-7928-49f4-b44c-efe9aa775fc1,3648
64,16,8,OK,OK,6859a9e5-5072-4893-a289-ba0111a148fb,2818
64,16,16,OK,OK,4f57b970-cd53-40c1-b394-9732f7e2a06e,2470
64,64,16,OK,OK,3e9a1c89-7cf9-4c6e-b2fc-568806cafeba,16387
64,64,32,OK,OK,7d3fc7b8-14a6-4852-9cce-46ddababae04,12181
64,64,64,OK,OK,e1071eab-fa49-44fc-abe5-b8962341378d,9224
80,1,1,OK,OK
80,4,1,OK,OK
80,4,2,OK,OK
80,4,4,OK,OK,c9e01f68-7cc1-45ed-bd1c-303382b3ace4,8780
80,16,4,OK,OK,abc23614-a097-46fb-a5a6-e3fcb51ece7b,3723
80,16,8,OK,OK,88542b16-2e62-49c1-9b06-4885b723a55f,3371
80,16,16,OK,OK,5964f6d8-d35c-4edc-b04c-837e2c3c0793,2309
80,64,16,OK,OK,87e050d5-cfa4-4bd7-9718-93223b352c9a,15091
80,64,32,OK,OK,5e3f6413-49c5-406b-b6e1-eca67b4a4604,12135
80,64,64,OK,OK,07d6e71b-c356-4cc5-b1e9-01bf8c580730,8327
96,1,1,OK,OK
96,4,1,OK,OK
96,4,2,OK,OK
