mapID,mapSize,chunkCount,numberOfWorkers,startTime,endTime,totalDuration
067244cc-aa8d-474c-bed8-250cdd94996b,128,256,64,2025-06-11 12:50:12.939000,2025-06-11 12:51:02.855000,49916
07d6e71b-c356-4cc5-b1e9-01bf8c580730,80,64,64,2025-06-11 12:44:53.545000,2025-06-11 12:45:01.872000,8327
08c27a7f-bc10-4add-ac2e-f5046ef17ce8,208,16,8,2025-06-11 11:20:50.840000,2025-06-11 11:21:40.443000,49603
08c6f202-6a51-4b97-b63b-72ec929d2fe4,160,64,32,2025-06-11 12:19:31.104000,2025-06-11 12:19:44.129000,13025
08e15ebf-c703-4fcc-9374-585e8413c590,208,256,256,2025-06-11 14:12:31.980000,2025-06-11 14:13:20.944000,48964
0a8b7733-4602-46f7-9118-dc33d0942706,112,256,64,2025-06-11 12:47:15.495000,2025-06-11 12:48:16.131000,60636
0b3551a0-3992-4cfb-b681-f6d429d6f6ca,112,196,98,2025-06-11 13:20:34.674000,2025-06-11 13:21:15.625000,40951
0b4d6c15-afa1-4885-b438-0c3e044d2004,48,36,18,2025-06-11 12:05:25.086000,2025-06-11 12:05:33.002000,7916
0dc2f5cd-22ad-4449-b44c-6ea001e7cd68,48,16,8,2025-06-11 11:12:00.782000,2025-06-11 11:12:04.048000,3266
0e0b84b7-0f45-4b7a-b816-257efea8ac94,208,16,4,2025-06-11 10:10:14.010000,2025-06-11 10:11:52.345000,98335
12a953dd-6f9a-43fb-b0c0-032fe2c47e58,192,256,64,2025-06-11 13:01:58.730000,2025-06-11 13:02:42.708000,43978
1417f234-1601-4ac1-95b5-93025013dcc5,192,64,64,2025-06-11 13:00:52.112000,2025-06-11 13:01:01.845000,9733
16608782-ba1b-4413-a43f-479cb6977812,176,16,8,2025-06-11 11:18:14.336000,2025-06-11 11:18:39.747000,25411
17af5b46-a5e6-40d2-bdb0-2138a3e88ca8,208,16,16,2025-06-11 11:54:01.530000,2025-06-11 11:54:26.697000,25167
18aad328-d049-462d-815b-1a1f78dd0e2e,208,64,64,2025-06-11 13:03:40.078000,2025-06-11 13:03:49.919000,9841
18d76c53-8fdc-4b6f-a44c-620cc16106e5,144,256,128,2025-06-11 13:32:31.462000,2025-06-11 13:33:26.822000,55360
1a918c13-fa6f-40dc-8202-6165ce72c6d1,192,144,72,2025-06-11 13:17:51.859000,2025-06-11 13:18:22.377000,30518
1e3eb17a-c939-4900-ad46-3df223c658aa,176,256,256,2025-06-11 14:07:57.630000,2025-06-11 14:08:45.954000,48324
1eb06ad8-2136-4b9d-810b-b98c8518d754,192,256,128,2025-06-11 13:38:22.277000,2025-06-11 13:39:17.089000,54812
1fa66102-a31d-41f7-a956-4cb8373fa4f4,256,16,16,2025-06-11 12:01:27.060000,2025-06-11 12:02:25.817000,58757
2203015b-add3-4021-82e1-1bb098938624,160,256,64,2025-06-11 12:56:03.379000,2025-06-11 12:57:03.144000,59765
26591c33-2250-44f4-b821-0d5be8fe1530,96,36,36,2025-06-11 12:29:09.834000,2025-06-11 12:29:14.727000,4893
277c1305-3cc8-4b65-b4d9-2bf91f58a865,144,64,32,2025-06-11 12:18:25.246000,2025-06-11 12:18:37.788000,12542
295c7d04-99c5-4ef0-969e-0bc19ee26cfa,48,4,4,2025-06-11 09:28:21.942000,2025-06-11 09:28:23.144000,1202
2aa0fb2c-58b7-4043-a9cc-5e6bc4b97f97,144,16,8,2025-06-11 11:16:13.141000,2025-06-11 11:16:24.011000,10870
2ac95b19-b9cd-41ca-9547-772f382e7fd0,208,256,128,2025-06-11 13:40:14.593000,2025-06-11 13:41:10.864000,56271
2c18b45b-bae4-4cde-ba02-51cf419a1f12,48,36,36,2025-06-11 12:28:24.293000,2025-06-11 12:28:29.037000,4744
2c945a2a-4e2f-49bf-b6f4-d7bb75b4767a,176,64,32,2025-06-11 12:20:37.148000,2025-06-11 12:20:50.603000,13455
2d981228-57c7-4826-9bf5-11b7755d983b,224,16,8,2025-06-11 11:22:26.689000,2025-06-11 11:23:32.898000,66209
2dabe10e-6531-466b-a5d6-9f6993592e17,96,36,9,2025-06-11 11:31:36.612000,2025-06-11 11:31:42.996000,6384
2dde53fa-9a17-477b-8b1c-c98888f5538e,160,64,64,2025-06-11 12:54:56.683000,2025-06-11 12:55:06.087000,9404
2e1ef648-d20f-468b-abc6-aecb4adba9b0,32,4,4,2025-06-11 09:26:51.147000,2025-06-11 09:26:51.631000,484
2e420c51-a95d-4700-a716-dfbe3e52e390,224,64,32,2025-06-11 12:24:00.353000,2025-06-11 12:24:14.053000,13700
2fba24ff-4ae9-41b9-a90b-3e9a55491391,128,256,256,2025-06-11 14:01:06.536000,2025-06-11 14:01:54.370000,47834
33f88f52-1760-4411-9015-e672ca6303cd,16,16,8,2025-06-11 11:10:19.949000,2025-06-11 11:10:22.588000,2639
3586d6e5-c420-46c7-a13e-fd91e3a33b4b,224,256,256,2025-06-11 14:14:49.504000,2025-06-11 14:15:37.439000,47935
360f73d9-7928-49f4-b44c-efe9aa775fc1,64,16,4,2025-06-11 09:30:43.234000,2025-06-11 09:30:46.882000,3648
37a94194-e852-482a-9a58-85739b698567,144,16,16,2025-06-11 11:45:45.463000,2025-06-11 11:45:51.586000,6123
381a8a8e-fe2f-440b-8ada-3099bdce05b6,160,4,4,2025-06-11 09:43:04.016000,2025-06-11 09:45:38.339000,154323
3bad8cc0-12a4-4671-9af6-61b8a914694b,176,16,16,2025-06-11 11:49:48.336000,2025-06-11 11:50:01.083000,12747
3c5f7224-8b54-438d-952e-ced5d4cbb81e,224,196,49,2025-06-11 12:35:25.921000,2025-06-11 12:36:11.298000,45377
3e9a1c89-7cf9-4c6e-b2fc-568806cafeba,64,64,16,2025-06-11 11:38:56.242000,2025-06-11 11:39:12.629000,16387
3ec839dc-e3b7-4951-a743-76291e8bf263,240,64,32,2025-06-11 12:25:06.357000,2025-06-11 12:25:20.072000,13715
3f018141-2f03-4611-8415-515af8414e00,112,256,128,2025-06-11 13:28:48.214000,2025-06-11 13:29:44.706000,56492
411e76df-d127-4f4e-b998-01da3468ba00,128,16,16,2025-06-11 11:43:44.102000,2025-06-11 11:43:48.676000,4574
41a61ac4-a92c-474d-836b-5ae9c5af4058,176,256,64,2025-06-11 12:59:05.927000,2025-06-11 13:00:02.577000,56650
430f80e8-11a8-4d24-986a-469025bba220,128,4,4,2025-06-11 09:36:36.210000,2025-06-11 09:37:38.371000,62161
44ff37a9-1326-4150-bebf-82607b68f5fd,240,16,4,2025-06-11 10:41:54.805000,2025-06-11 10:44:54.615000,179810
45697e1f-3e91-463d-924f-e8ddc0e55772,112,4,4,2025-06-11 09:34:15.058000,2025-06-11 09:34:51.278000,36220
468e67b8-091d-45a2-a7ad-13e52923f65b,176,256,128,2025-06-11 13:36:30.478000,2025-06-11 13:37:27.442000,56964
4f57b970-cd53-40c1-b394-9732f7e2a06e,64,16,16,2025-06-11 11:38:00.694000,2025-06-11 11:38:03.164000,2470
5461b6ff-56b8-46bd-a987-3349c9893237,160,16,16,2025-06-11 11:47:46.788000,2025-06-11 11:47:55.753000,8965
54f7c3ae-d20c-47ac-9541-dc6716822967,112,64,16,2025-06-11 11:42:38.538000,2025-06-11 11:42:53.464000,14926
