mapID,mapSize,chunkCount,numberOfWorkers,startTime,endTime,totalDuration
b4a619fb-4b9d-4111-8458-1226cf9180ca,192,4,1,2025-06-16 09:20:40.617000,2025-06-16 09:42:18.936000,1298319
df626dd0-8a72-4409-826f-a01653c06046,192,4,1,2025-06-16 08:41:27.232000,2025-06-16 09:02:42.812000,1275580
99c1b49d-3ff7-4041-b2f0-ca49b516eaba,192,1,1,2025-06-16 10:44:37.710000,2025-06-16 12:16:36.704000,5518994
1b89d91c-07fb-4b0a-af77-97781724c3aa,208,4,1,2025-06-16 17:16:16.772000,2025-06-16 17:44:39.535000,1702763
23b91833-a308-403b-a150-ee2ea0193cd8,208,4,1,2025-06-16 16:39:59.316000,2025-06-16 17:09:13.972000,1754656
06477f50-1553-4b9a-9976-0821c60a118f,224,4,1,2025-06-17 09:39:45.981000,2025-06-17 10:19:54.262000,2408281
17fe40a6-003e-4162-a6f0-a31d7322e7fa,240,4,1,2025-06-17 10:24:17.491000,2025-06-17 11:15:56.814000,3099323
6cd47368-ae25-4504-bb7c-3480c22727da,256,1,1,2025-06-16 18:05:27.771000,2025-06-17 00:01:30.465000,21362694
a364826d-c6fe-4970-946d-779f1b8ed65c,224,4,1,2025-06-17 08:58:46.386000,2025-06-17 09:37:55.651000,2349265
fcdbfc86-0148-4bcc-9d47-617889a845a3,240,1,1,2025-06-17 11:17:35.876000,2025-06-17 14:18:39.593000,10863717
55969f76-2f87-495d-a281-31899739739c,256,4,1,2025-06-18 09:01:19.183000,2025-06-18 10:08:11.702000,4012519
8f9962e5-094b-4b60-9314-af755c3f6145,256,1,1,2025-06-17 17:43:11.309000,2025-06-17 23:58:03.630000,22492321
025547a4-3dd2-4018-9952-da63a835f693,240,4,4,2025-06-10 19:47:50.315000,2025-06-10 20:02:29.691000,879376
02e0b8e3-5f54-401e-8043-a3e54e7221ed,208,256,256,2025-06-10 23:35:14.609000,2025-06-10 23:36:03.148000,48539
04b75c23-2524-4c78-b25b-4ff9d3319008,176,64,32,2025-06-10 21:43:27.804000,2025-06-10 21:43:40.204000,12400
058af2db-11d6-43a5-8a05-ae80afc287a2,224,196,196,2025-06-10 23:18:24.004000,2025-06-10 23:18:58.272000,34268
078da8b5-b408-4311-8a4c-cf0984559cb3,96,4,4,2025-06-10 18:51:13.854000,2025-06-10 18:51:33.604000,19750
0a525a66-6f84-4406-b046-4403826d4d8c,256,64,16,2025-06-10 21:26:13.924000,2025-06-10 21:26:31.965000,18041
0a699cec-3e4c-4317-9ad1-ab895231c3dd,256,256,128,2025-06-10 23:08:54.595000,2025-06-10 23:09:50.958000,56363
0b0067a4-7b86-4b5c-aa94-1f2badbf5721,32,16,4,2025-06-10 18:45:30.888000,2025-06-10 18:45:34.341000,3453
0bbef947-cbd1-41af-ab37-ff76662ec250,112,16,8,2025-06-10 20:36:23.004000,2025-06-10 20:36:28.461000,5457
0bc1ac8c-1130-4c80-a6bd-6c17b17d1018,112,16,16,2025-06-10 21:04:43.716000,2025-06-10 21:04:46.677000,2961
0cb0c88f-35b2-47b0-8578-327f1606f8bb,112,4,4,2025-06-10 18:52:24.406000,2025-06-10 18:53:02.094000,37688
0df78978-57bd-4f88-bc46-e9b6f8165fb3,32,64,64,2025-06-10 22:04:47.393000,2025-06-10 22:04:55.857000,8464
0f55f5e1-c561-4926-a97a-4fdd610870b8,176,256,64,2025-06-10 22:21:40.474000,2025-06-10 22:22:36.624000,56150
102aecd5-f215-4cfa-b8e1-69ae395336da,80,16,8,2025-06-10 20:35:37.518000,2025-06-10 20:35:40.936000,3418
1044c416-de74-4d59-b914-42d2a5771ada,192,256,64,2025-06-10 22:24:43.325000,2025-06-10 22:25:39.305000,55980
14147c0f-6aa4-48b4-a659-04f91d11a915,176,256,128,2025-06-10 22:59:18.143000,2025-06-10 23:00:13.192000,55049
151aa273-3783-4eaa-bbcc-9771c5924315,112,256,128,2025-06-10 22:51:36.142000,2025-06-10 22:52:32.096000,55954
162e4d8b-fa4c-432f-8c50-b95e07c5556d,128,4,4,2025-06-10 18:54:45.600000,2025-06-10 18:55:49.511000,63911
19844398-f531-498a-a25b-3d64e50f1db6,224,256,256,2025-06-10 23:37:32.270000,2025-06-10 23:38:21.181000,48911
1aa2fa95-7bb2-43e7-ba62-3ef8a28ef443,240,64,32,2025-06-10 21:47:52.022000,2025-06-10 21:48:06.055000,14033
1ba487bf-6d88-4223-84a4-adb2b32a6c31,48,36,36,2025-06-10 21:51:09.761000,2025-06-10 21:51:14.194000,4433
1d2931e2-18d4-4590-bd25-fc3adb0b291f,240,100,50,2025-06-10 22:02:25.474000,2025-06-10 22:02:45.189000,19715
1e8801ae-f450-4542-a411-264fa1fc418a,208,64,32,2025-06-10 21:45:39.725000,2025-06-10 21:45:52.616000,12891
1ee02ba3-4046-48b0-97dc-7ce745da7894,240,100,25,2025-06-10 21:32:34.927000,2025-06-10 21:32:58.389000,23462
21c3ea7a-520e-43ac-a9d5-e423412d50f0,240,64,64,2025-06-10 22:32:25.132000,2025-06-10 22:32:35.603000,10471
25220616-07f8-4943-8345-3459ecbdf714,256,64,64,2025-06-10 22:35:18.589000,2025-06-10 22:35:29.269000,10680
26f21aef-5a30-4aa0-944d-c9ff718f128c,240,256,64,2025-06-10 22:33:32.265000,2025-06-10 22:34:23.827000,51562
28ac3b08-5c0e-42a9-91cd-835e9ac9c248,176,16,16,2025-06-10 21:12:33.962000,2025-06-10 21:12:46.589000,12627
2bc453ec-3ff7-4050-89a1-a5921aceef62,16,16,4,2025-06-10 18:44:00.133000,2025-06-10 18:44:03.487000,3354
2c09797e-33d1-4daa-8b34-8b20d28cf259,224,64,32,2025-06-10 21:46:45.936000,2025-06-10 21:46:59.339000,13403
30f9dba8-2a98-4848-8ef2-4e381f6379f5,112,196,98,2025-06-10 22:43:17.428000,2025-06-10 22:43:58.410000,40982
3284a5e1-2931-4c81-a3f8-c797aea639a9,208,256,64,2025-06-10 22:27:36.059000,2025-06-10 22:28:29.985000,53926
348198e5-df06-455b-a7e4-281d449187ff,144,64,64,2025-06-10 22:14:39.343000,2025-06-10 22:14:48.468000,9125
35d4966a-703b-4b13-8c03-20c2cdf0232e,208,64,16,2025-06-10 21:18:03.150000,2025-06-10 21:18:18.815000,15665
38436bf4-3779-43e9-8d3a-4c8d2e0d1175,224,256,128,2025-06-10 23:04:59.465000,2025-06-10 23:05:55.779000,56314
3b2a432d-61c4-482e-a694-4bac9017e94d,192,64,16,2025-06-10 21:15:51.264000,2025-06-10 21:16:05.677000,14413
3b8fa585-706a-4cda-bbf6-1cc32d51d47c,160,100,50,2025-06-10 22:01:09.268000,2025-06-10 22:01:29.518000,20250
3ed6fb15-fccc-4f6c-ae1b-85ffbc2ac66e,208,16,16,2025-06-10 21:16:51.949000,2025-06-10 21:17:15.528000,23579
3f1bd551-596c-4c80-9ca5-20f8d00007e6,96,36,9,2025-06-10 20:54:12.514000,2025-06-10 20:54:20.329000,7815
3ff0bda9-1a14-42d5-9326-c0358ac5c83f,144,16,4,2025-06-10 19:00:03.073000,2025-06-10 19:00:24.696000,21623
40915cfa-43fc-490b-beba-b1c8086bd3f5,224,16,8,2025-06-10 20:44:47.704000,2025-06-10 20:45:59.208000,71504
40f24fe9-f96c-4d20-a179-e4317829f0ee,112,196,196,2025-06-10 23:16:22.017000,2025-06-10 23:16:57.787000,35770
42422508-ece8-4663-b8c7-08249a9cc54b,48,64,64,2025-06-10 22:05:47.981000,2025-06-10 22:05:56.482000,8501
42517653-757e-4605-9acc-f1f383a8da33,208,64,64,2025-06-10 22:26:29.472000,2025-06-10 22:26:39.354000,9882
42c43ca1-dfc9-4df0-8c94-d5ea77736986,192,64,64,2025-06-10 22:23:31.677000,2025-06-10 22:23:41.407000,9730
4365a895-7544-4b83-bda0-16fdbdbadeb4,208,16,4,2025-06-10 19:30:04.159000,2025-06-10 19:31:43.998000,99839
44cedc83-1366-468f-9bf8-db4e00975776,256,16,8,2025-06-10 20:49:09.853000,2025-06-10 20:51:18.118000,128264
44f7d026-c016-4f54-94d9-47243505cb71,240,100,100,2025-06-10 22:49:03.188000,2025-06-10 22:49:18.967000,15779
45eb8df2-687d-43c7-b571-6a929d8fe80a,128,16,16,2025-06-10 21:06:34.897000,2025-06-10 21:06:39.602000,4705
46dfb0f5-b3b7-4796-a48d-a5c295d26494,208,16,8,2025-06-10 20:43:06.835000,2025-06-10 20:43:59.615000,52780
4ad53592-677c-4c63-b12c-d677e77fcfa8,48,4,4,2025-06-10 18:46:21.268000,2025-06-10 18:46:22.380000,1112
4b876c5a-7a3d-4440-8da9-66349347c495,224,16,4,2025-06-10 19:44:39.093000,2025-06-10 19:47:00.046000,140953
4d63457b-7c92-49ff-a596-35a4c959715a,16,4,4,2025-06-10 18:43:14.734000,2025-06-10 18:43:15.253000,519
578eed46-af92-49f4-bba8-7b8617d28399,64,4,4,2025-06-10 18:47:57.102000,2025-06-10 18:48:01.082000,3980
5930ce14-d053-4446-9d40-ea921a7d465f,224,64,64,2025-06-10 22:29:27.341000,2025-06-10 22:29:37.097000,9756
5a2d06ef-de84-44a6-aee1-f54d458d1d27,144,4,4,2025-06-10 18:57:32.031000,2025-06-10 18:59:16.454000,104423
5a896118-ddd3-4655-b5f5-2a98c69615af,80,64,64,2025-06-10 22:07:54.394000,2025-06-10 22:08:03.177000,8783
5bc70620-514e-4b3a-b151-66e5123fcf0d,96,36,18,2025-06-10 21:29:21.304000,2025-06-10 21:29:28.682000,7378
5be3db5e-76ee-48ad-bc3f-801d780edfa0,160,100,25,2025-06-10 21:31:23.414000,2025-06-10 21:31:41.844000,18430
5fc4a9fb-2e5f-4922-aed0-257c6e49e9ee,208,4,4,2025-06-10 19:21:01.229000,2025-06-10 19:29:16.921000,495692
60b01358-6102-4487-94ea-43b556a2a826,192,256,256,2025-06-10 23:32:57.482000,2025-06-10 23:33:45.091000,47609
6c8bc541-a305-414c-9420-d7ad99174503,192,144,36,2025-06-10 21:54:17.635000,2025-06-10 21:54:48.104000,30469
6ce05f9b-5a09-4619-bf98-4ed88aae91a4,192,4,4,2025-06-10 19:12:38.126000,2025-06-10 19:18:15.241000,337115
6d4d88e7-45c5-4333-96b5-a4c76e41263d,144,144,36,2025-06-10 21:52:56.267000,2025-06-10 21:53:27.029000,30762
6e480533-f913-4992-8f55-7d3bc0e34aae,128,256,64,2025-06-10 22:12:58.398000,2025-06-10 22:13:49.456000,51058
6fd6997c-8354-405b-af9a-78493bc7c375,224,196,49,2025-06-10 21:58:21.761000,2025-06-10 21:59:07.817000,46056
72f987df-fe2e-47c9-a197-27fdac2562a0,112,64,16,2025-06-10 21:05:29.332000,2025-06-10 21:05:46.425000,17093
739565e1-58dc-4fe2-a002-ddb997eee31e,144,256,256,2025-06-10 23:26:11.392000,2025-06-10 23:27:00.233000,48841
73d6e11c-7cde-43d0-a6c8-0b22cbdb8edc,176,64,64,2025-06-10 22:20:34.010000,2025-06-10 22:20:43.420000,9410
74ce19e5-4973-43bf-b588-567b059b2fb8,192,16,8,2025-06-10 20:41:41.064000,2025-06-10 20:42:19.342000,38278
7595e3df-294d-45db-a021-8a86efbc8eff,224,256,64,2025-06-10 22:30:38.842000,2025-06-10 22:31:34.729000,55887
7678bc17-a001-4649-97c9-dfd1bf109eea,192,144,72,2025-06-10 22:40:39.848000,2025-06-10 22:41:08.715000,28867
76ff0ed0-1052-48f1-bf0a-66a3b12b0e4b,128,64,32,2025-06-10 21:40:05.220000,2025-06-10 21:40:18.104000,12884
7c463b53-502b-4557-ac72-eec21559341f,240,16,4,2025-06-10 20:03:20.306000,2025-06-10 20:06:20.623000,180317
7f20a8de-4cb0-45a6-81e1-5bb9a1e65162,256,4,4,2025-06-10 20:07:06.708000,2025-06-10 20:25:26.361000,1099653
80ff5b28-335e-4217-8792-12ae47e1eaaf,160,16,4,2025-06-10 19:04:49.968000,2025-06-10 19:05:23.285000,33317
81279e45-5119-42b3-b953-664e44aacc4c,128,16,4,2025-06-10 18:56:36.536000,2025-06-10 18:56:48.295000,11759
815ce870-21f0-4f76-8f93-0b95c1d3812c,128,64,16,2025-06-10 21:07:20.521000,2025-06-10 21:07:36.885000,16364
81f9ac2f-abdc-4546-bdba-954922d9c56a,192,16,4,2025-06-10 19:19:05.407000,2025-06-10 19:20:12.068000,66661
8256d6e2-2b12-41b1-94c7-9aa3c2fa4a4c,112,64,32,2025-06-10 21:39:04.500000,2025-06-10 21:39:17.061000,12561
83842485-d86f-420a-962b-f9f8c0ceedf3,176,4,4,2025-06-10 19:06:15.605000,2025-06-10 19:10:13.632000,238027
86af8280-84b3-4d12-b2f0-d836e3d61960,144,256,128,2025-06-10 22:55:29.243000,2025-06-10 22:56:24.521000,55278
86da6897-f617-451a-bc53-638d71681f53,192,16,16,2025-06-10 21:14:40.426000,2025-06-10 21:15:00.148000,19722
87c8c31e-ce34-498f-8027-7c805c5b57fd,240,16,8,2025-06-10 20:46:43.707000,2025-06-10 20:48:20.779000,97072
8b48b478-b53e-444b-be59-c6ce07050592,48,16,16,2025-06-10 20:59:05.659000,2025-06-10 20:59:08.014000,2355
8c150c7f-08cf-42c3-aa83-91e95172b0c3,160,256,128,2025-06-10 22:57:21.288000,2025-06-10 22:58:16.251000,54963
905b9c96-c482-4caa-8a03-b9dc3c513c2b,16,16,16,2025-06-10 20:56:14.175000,2025-06-10 20:56:16.436000,2261
929ba523-93f0-414e-bd80-0188594921b8,112,64,64,2025-06-10 22:09:00.183000,2025-06-10 22:09:08.754000,8571
93024d5f-e7eb-4198-a53a-b5f32ceb6b3f,176,256,256,2025-06-10 23:30:45.415000,2025-06-10 23:31:32.584000,47169
945ad644-5aa3-4f2a-bda4-9275736ea5d6,48,36,9,2025-06-10 20:53:16.976000,2025-06-10 20:53:24.315000,7339
951ddae0-bacf-4f34-9cf8-439817d852c7,160,4,4,2025-06-10 19:01:13.650000,2025-06-10 19:03:59.969000,166319
9664ecb1-869d-4909-9277-bfa74efcad37,160,64,32,2025-06-10 21:42:16.890000,2025-06-10 21:42:29.807000,12917
96f3e488-8e80-4ade-9c28-3b76df6d40a4,48,64,32,2025-06-10 21:35:57.512000,2025-06-10 21:36:09.831000,12319
97126336-4e14-49e2-8e64-724cf9528e5c,80,16,4,2025-06-10 18:50:28.421000,2025-06-10 18:50:32.391000,3970
9c694370-f6d9-4c2f-a9bd-4867a488c211,144,64,32,2025-06-10 21:41:10.997000,2025-06-10 21:41:23.440000,12443
