SIZE,PARTS,WORKER,Run1,Run2,Run3
16,1,1,315,311,334
16,4,1,2001,1880,1737
16,4,2,972,998,867
16,4,4,519,401,494
16,16,4,3354,3270,3119
16,16,8,2891,2639,2952
16,16,16,2261,2220,2305
32,1,1,4951,2782,3869
32,4,1,2458,2306,2234
32,4,2,1322,1261,1165
32,4,4,491,484,675
32,16,4,3453,3428,3622
32,16,8,3229,2694,2841
32,16,16,2271,2020,2320
32,64,16,15252,12730,14913
32,64,32,12078,12446,11767
32,64,64,8464,8368,8772
48,1,1,20736,17865,19557
48,4,1,4368,3843,3806
48,4,2,1918,2116,2307
48,4,4,1112,1202,1140
48,16,4,3312,3037,3504
48,16,8,3280,3266,3126
48,16,16,2355,2210,2395
48,36,9,7339,7455,6464
48,36,18,8029,7916,8275
48,36,36,4433,4744,4692
48,64,16,13886,15968,15477
48,64,32,12319,12389,12041
48,64,64,8501,8766,8960
64,1,1,78976,56399,77452
64,4,1,12993,13675,14164
64,4,2,7277,6199,6259
64,4,4,3980,3511,3488
64,16,4,3631,3648,3779
64,16,8,3371,2818,2965
64,16,16,2615,2470,2447
64,64,16,13291,16387,11256
64,64,32,12506,12181,13009
64,64,64,8749,9224,9165
80,1,1,162974,159558,152876
80,4,1,32981,30913,31873
80,4,2,18261,17374,17354
80,4,4,8845,8780,8859
80,16,4,3970,3723,4142
80,16,8,3418,3371,3056
80,16,16,2467,2309,2423
80,64,16,15147,15091,16024
80,64,32,12974,12135,12807
80,64,64,8783,8327,8689
96,1,1,309216,292448,382545
96,4,1,68132,76430,74483
96,4,2,39737,36412,37216
96,4,4,19750,17483,17763
96,36,9,7815,6384,8000
96,36,18,7378,8004,8889
96,36,36,4726,4893,4906
112,1,1,751077,577960,807006
112,4,1,123691,140341,146334
112,4,2,70340,70213,69946
112,4,4,37688,36220,32589
112,16,4,7917,8214,7436
112,16,8,5457,5129,4999
112,16,16,2961,3088,3025
112,64,16,17093,14926,15378
112,64,32,12561,12765,13092
112,64,64,8571,9133,8718
112,196,49,44911,44733,44451
112,196,98,40982,40951,41631
112,196,196,35770,34587,35128
112,256,64,48543,60636,48330
112,256,128,55954,56492,54640
112,256,256,47959,48092,47688
128,1,1,1053006,876351,1450681
128,4,1,207096,227946,250196
128,4,2,126223,116076,119414
128,4,4,63911,62161,60976
128,16,4,11759,12937,12319
128,16,8,7792,7446,7021
128,16,16,4705,4574,3474
128,64,16,16364,16725,13570
128,64,32,12884,13076,12726
128,64,64,8798,8777,9152
128,256,64,51058,49916,56190
128,256,128,54470,53035,56020
128,256,256,47033,47834,48024
144,1,1,1731592,1360242,1438063
144,4,1,376671,385812,391282
144,4,2,194888,191178,185335
144,4,4,104423,101729,94140
144,16,4,21623,19917,19375
144,16,8,12061,10870,10379
144,16,16,6018,6123,6675
144,64,16,16805,16816,16327
144,64,32,12443,12542,12792
144,64,64,9125,8966,9091
144,144,36,30762,26566,27717
144,144,72,30423,29511,29247
144,144,144,24456,24671,24866
144,256,64,59836,61703,56669
144,256,128,55278,55360,55231
144,256,256,48841,48221,47979
160,1,1,2208680,2682021,2435507
160,4,1,562834,600945,650544
160,4,2,280700,321010,299481
160,4,4,166319,154323,155278
160,16,4,33317,30914,32607
160,16,8,17262,17511,15779
160,16,16,9305,8965,9082
160,64,16,16381,15467,16857
160,64,32,12917,13025,12753
