SIZE,PARTS,WORKER,MissingInFile		ID					TRY
192,1,1,RUN1/messreihen_complete.csv	142581ca-f0ff-4dc5-ac38-f542185e8a1c	1 FAIL
192,1,1,RUN3/messreihen_complete.csv	99c1b49d-3ff7-4041-b2f0-ca49b516eaba	2
192,4,1,RUN1/messreihen_complete.csv	df626dd0-8a72-4409-826f-a01653c06046	1
192,4,1,RUN3/messreihen_complete.csv	b4a619fb-4b9d-4111-8458-1226cf9180ca	1

208,1,1,RUN1/messreihen_complete.csv	
208,1,1,RUN3/messreihen_complete.csv
208,4,1,RUN1/messreihen_complete.csv	23b91833-a308-403b-a150-ee2ea0193cd8	3
208,4,1,RUN3/messreihen_complete.csv	1b89d91c-07fb-4b0a-af77-97781724c3aa	3

224,1,1,RUN1/messreihen_complete.csv	
224,1,1,RUN3/messreihen_complete.csv
224,4,1,RUN1/messreihen_complete.csv	a364826d-c6fe-4970-946d-779f1b8ed65c	4
224,4,1,RUN3/messreihen_complete.csv	06477f50-1553-4b9a-9976-0821c60a118f	4

240,1,1,RUN1/messreihen_complete.csv	fcdbfc86-0148-4bcc-9d47-617889a845a3	4 
240,1,1,RUN2/messreihen_complete.csv	d2d7b158-aefd-4ab3-805d-8cac01509d94	2 FAIL
240,1,1,RUN3/messreihen_complete.csv
240,4,1,RUN1/messreihen_complete.csv	17fe40a6-003e-4162-a6f0-a31d7322e7fa	4
240,4,1,RUN2/messreihen_complete.csv
240,4,1,RUN3/messreihen_complete.csv

256,1,1,RUN1/messreihen_complete.csv	6cd47368-ae25-4504-bb7c-3480c22727da	4
256,1,1,RUN2/messreihen_complete.csv	8f9962e5-094b-4b60-9314-af755c3f6145	5
256,1,1,RUN3/messreihen_complete.csv
256,4,1,RUN1/messreihen_complete.csv	55969f76-2f87-495d-a281-31899739739c	5 
256,4,1,RUN2/messreihen_complete.csv
256,4,1,RUN3/messreihen_complete.csv
