mapID,mapSize,chunkCount,numberOfWorkers,startTime,endTime,totalDuration
0a129b39-174d-4af4-b221-f1321a980e42,256,4,1,2025-06-19 14:01:37.758000,2025-06-19 15:13:04.837000,4287079
14f65eee-1ed6-4db8-ade7-20bb6a3cbefa,208,1,1,2025-06-18 14:34:07.314000,2025-06-18 16:30:53.827000,7006513
1f6e42ff-e5e9-43e1-beaa-50c005df8b84,240,1,1,2025-06-19 01:21:38.959000,2025-06-19 06:08:07.737000,17188778
28b5bb23-0664-40c8-bcad-72b6fe3de4f7,208,1,1,2025-06-18 12:19:23.475000,2025-06-18 14:33:19.916000,8036441
4c732ea4-86ab-4945-89b5-10e0a71b92ab,256,4,1,2025-06-19 12:50:07.090000,2025-06-19 14:00:46.961000,4239871
58bdecbe-a603-402e-9fb2-0f2f9a23ba84,240,4,1,2025-06-19 06:09:01.402000,2025-06-19 07:04:26.485000,3325083
75f985d3-d43b-45a9-9bee-f2f14baac4e8,192,1,1,2025-06-18 10:28:51.404000,2025-06-18 12:18:32.940000,6581536
79634be8-c48c-4912-b4e3-d856e2333df9,224,1,1,2025-06-18 16:31:46.330000,2025-06-18 19:21:59.831000,10213501
7cde3df6-1fd6-4004-9085-01b9e70c0e3b,224,1,1,2025-06-18 19:22:50.779000,2025-06-18 22:20:30.209000,10659430
cb95535d-0df0-4cb8-822f-7b670444044e,240,4,1,2025-06-19 07:05:12.839000,2025-06-19 07:57:48.849000,3156010
e2306722-662b-4089-a5b0-f6e871a33cb4,240,1,1,2025-06-18 22:21:22.101000,2025-06-19 01:20:48.487000,10766386
faea54fe-b927-4879-983b-f2cdbfd5a4c9,256,1,1,2025-06-19 07:58:38.446000,2025-06-19 12:49:13.748000,17435302
