mapID,mapSize,chunkCount,numberOfWorkers,startTime,endTime,totalDuration
013d8498-7563-4e22-90b3-25fa199cd4b6,256,4,4,2025-06-03 14:32:15.040000,2025-06-03 14:44:26.556000,731516
054ffdec-d190-4ada-85bd-1b13ad8a102d,128,4,2,2025-06-03 10:56:07.230000,2025-06-03 10:57:45.354000,98124
059d931e-5b68-4d03-bdf6-4e44223e7944,32,4,4,2025-06-03 13:17:28.670000,2025-06-03 13:17:29.721000,1051
0a28d3e8-c02d-4d6a-bc75-09924bce283c,192,4,4,2025-06-03 13:32:44.244000,2025-06-03 13:37:16.317000,272073
0d1f7593-f7bf-4ed8-bde3-a87d51c536ec,256,16,4,2025-06-03 14:45:24.565000,2025-06-03 14:51:34.172000,369607
14b4270e-087f-46ec-95e9-2380e3b29e5e,96,4,4,2025-06-03 13:19:36.525000,2025-06-03 13:20:01.629000,25104
256dbbdb-8272-403e-b964-8a785a5f5708,48,4,2,2025-06-03 10:54:00.046000,2025-06-03 10:54:02.002000,1956
298bdf29-ff44-4c02-bf1e-331fe4e8963c,64,16,4,2025-06-03 13:18:45.382000,2025-06-03 13:18:50.833000,5451
2f273d56-d2c1-4bd6-a80f-8e96551167fb,224,16,4,2025-06-03 13:57:28.592000,2025-06-03 14:06:53.467000,564875
34e0292a-1f56-4878-b23d-04e89ceb71d2,144,4,4,2025-06-03 13:23:09.221000,2025-06-03 13:25:11.947000,122726
38ad2ce0-d80b-49db-90b6-d7afd5dfc066,208,16,4,2025-06-03 13:44:49.073000,2025-06-03 13:50:36.090000,347017
3ee57126-814f-4405-aadb-78e94718e59d,112,16,4,2025-06-03 13:21:12.616000,2025-06-03 13:21:23.368000,10752
4d5ef859-7ea7-43e7-b9bf-80432476aafc,112,4,2,2025-06-03 10:55:31.735000,2025-06-03 10:56:21.208000,49473
518b0806-4159-43ba-9c39-176ee4dd94c0,224,4,2,2025-06-03 11:34:20.566000,2025-06-03 11:44:20.425000,599859
67fd1449-dd82-4337-904c-6c4e41d47383,112,4,4,2025-06-03 13:20:11.975000,2025-06-03 13:21:00.075000,48100
6e724a69-cb47-4b04-9f7e-d1cd44244078,224,4,4,2025-06-03 13:49:40.869000,2025-06-03 13:58:22.386000,521517
7061e705-7f5a-49ff-91aa-ee0f9518eaa2,144,16,4,2025-06-03 13:24:19.950000,2025-06-03 13:25:09.230000,49280
709eacbd-bbae-413c-a721-0ebe1f7ac2d7,32,4,2,2025-06-03 10:53:44.705000,2025-06-03 10:53:45.665000,960
72e75e62-b5fd-4250-ba50-fbc1d6587833,176,4,4,2025-06-03 13:27:36.933000,2025-06-03 13:30:51.155000,194222
745b9f00-6377-42ab-a9fd-69552f6e6507,240,16,4,2025-06-03 14:16:55.116000,2025-06-03 14:32:27.899000,932783
7625fee5-16ae-445f-adc9-4dbe7cefdab8,128,4,4,2025-06-03 13:21:33.096000,2025-06-03 13:22:57.083000,83987
86b68de1-f7d0-4542-ad8c-61e2af06ee32,208,4,4,2025-06-03 13:39:16.936000,2025-06-03 13:45:13.636000,356700
92b11918-4c15-414f-b535-fb3d7e84cafb,80,16,4,2025-06-03 13:19:21.149000,2025-06-03 13:19:27.105000,5956
96a48c79-48e0-43a6-b0ed-5ce30145097f,160,4,2,2025-06-03 10:59:18.919000,2025-06-03 11:03:54.641000,275722
98cd6c7a-db10-4b5b-9e29-05b95dddb583,160,16,4,2025-06-03 13:27:16.499000,2025-06-03 13:27:54.002000,37503
9d12aa8e-1e90-4298-9a13-b144e08da8fe,176,16,4,2025-06-03 13:30:18.145000,2025-06-03 13:32:37.473000,139328
a51223e0-0d2e-4113-8c28-4c9c82df4a93,144,4,2,2025-06-03 10:57:58.145000,2025-06-03 11:00:13.554000,135409
aac3f07a-9c2e-406c-941c-0988cce8557b,240,4,4,2025-06-03 14:04:20.940000,2025-06-03 14:14:40.585000,619645
ae45dec1-4d62-457a-a42e-69b888bc9852,256,4,2,2025-06-03 12:13:52.783000,2025-06-03 12:58:05.258000,2652475
ae8c3cf3-b27d-40c6-ad83-4100e47196a6,64,4,2,2025-06-03 10:54:15.407000,2025-06-03 10:54:20.001000,4594
b041e7bc-9a4a-47e1-8617-14c75517d104,128,16,4,2025-06-03 13:22:23.696000,2025-06-03 13:23:08.080000,44384
b0e25ad0-36e8-4c3f-9634-63e9129b2bea,240,4,2,2025-06-03 12:03:24.319000,2025-06-03 12:13:37.877000,613558
bace878a-8c39-46c1-b63a-6cecd6be0626,208,4,2,2025-06-03 11:18:45.617000,2025-06-03 11:24:44.941000,359324
bb0a2600-32a2-46f0-bd6f-fa7d5e4b4148,96,4,2,2025-06-03 10:54:56.197000,2025-06-03 10:55:22.056000,25859
cbb5dfe1-9dfb-4037-af5e-b2c405efabab,16,4,2,2025-06-03 10:53:29.325000,2025-06-03 10:53:30.431000,1106
cd294dfd-0564-4681-bb23-9a534e143505,64,4,4,2025-06-03 13:18:30.020000,2025-06-03 13:18:34.875000,4855
cd5cfa13-1e1c-4925-a14b-3747766674c8,48,4,4,2025-06-03 13:17:59.331000,2025-06-03 13:18:01.036000,1705
d0095ae4-1ba8-4b2c-8357-dfeb800645ea,80,4,2,2025-06-03 10:54:30.776000,2025-06-03 10:54:44.247000,13471
d0d62868-92b5-49d1-b63f-d98dc48306e0,160,4,4,2025-06-03 13:25:15.522000,2025-06-03 13:28:07.471000,171949
d671c5f1-7c14-4ace-8fd2-966d62d71ff2,32,16,4,2025-06-03 13:17:44.007000,2025-06-03 13:17:48.544000,4537
dde4b3fc-9eb8-4cc6-97d9-ecbf53db1939,176,4,2,2025-06-03 11:02:10.080000,2025-06-03 11:06:35.161000,265081
df1e7558-8f3c-4ae5-a5bf-5fe510428c59,48,16,4,2025-06-03 13:18:14.679000,2025-06-03 13:18:19.242000,4563
e0f477a7-cd34-4db1-901f-665f77ac2804,80,4,4,2025-06-03 13:19:00.737000,2025-06-03 13:19:13.208000,12471
e945fe38-2478-4d11-a001-6b70b8413e6b,16,16,4,2025-06-03 13:17:13.347000,2025-06-03 13:17:18.762000,5415
f7c3f689-4f53-487e-8fe8-17daafe6e0f9,192,16,4,2025-06-03 13:36:30.755000,2025-06-03 13:39:16.992000,166237
ff7dc657-74f8-4711-abaf-517df029e75c,16,4,4,2025-06-03 13:04:29.458000,2025-06-03 13:17:03.921000,754463
ffa21034-9720-4ccf-84f7-0482e935ca09,192,4,2,2025-06-03 11:06:31.698000,2025-06-03 11:18:31.956000,720258
