mapID,mapSize,chunkCount,numberOfWorkers,startTime,endTime,totalDuration
103483f0-b59f-489b-ba9f-f2fa1e8ff879,128,4,1,2025-06-05 19:28:45.755000,2025-06-05 19:31:25.060000,159305
12edc352-2a87-4f91-8625-02a1354e6f0f,192,1,1,2025-06-05 21:19:19.927000,2025-06-05 22:30:31.919000,4271992
167c2a32-eaa8-4d4b-9bdb-93ff7b9f0927,112,4,1,2025-06-05 19:14:51.105000,2025-06-05 19:16:32.305000,101200
1893bd61-d19d-4999-8db2-dda96d7ba2b1,16,1,1,2025-06-05 18:58:02.484000,2025-06-05 18:58:02.757000,273
212d5eb2-4500-4451-995f-ea42afc5036e,224,4,1,2025-06-06 02:34:47.567000,2025-06-06 02:41:00.448000,372881
2629fb32-b8e3-43f5-93b6-80790a69ca4b,32,4,1,2025-06-05 18:58:48.554000,2025-06-05 18:58:50.647000,2093
276ade27-ce07-454b-bfb9-4706c0d7e081,96,1,1,2025-06-05 19:03:16.832000,2025-06-05 19:07:09.752000,232920
3e40bcc2-862b-4e1e-bc2c-0070bf9bd0dd,144,1,1,2025-06-05 19:31:36.941000,2025-06-05 19:50:34.627000,1137686
43a32f1b-7bbb-4bd4-83f7-8afd8d04737f,96,4,1,2025-06-05 19:07:23.321000,2025-06-05 19:08:07.222000,43901
48bc2e6a-cf61-4cf3-96dc-1c2a4c61e656,256,4,1,2025-06-03 18:37:15.808000,,
59581caf-f852-44da-ac0a-05f3568a1af4,64,1,1,2025-06-05 18:59:44.650000,2025-06-05 19:00:25.423000,40773
5eb02347-fe82-43c7-8776-2b599ab32258,176,4,1,2025-06-05 21:16:48.860000,2025-06-05 21:21:43.705000,294845
60f563a0-8bb1-4ea7-a5da-ae341611ef0c,16,4,1,2025-06-05 18:58:17.896000,2025-06-05 18:58:19.712000,1816
6351bd40-9747-4b93-aadc-f1b30524ea7b,48,4,1,2025-06-05 18:59:29.302000,2025-06-05 18:59:32.973000,3671
6b424eeb-2e42-4300-84ec-73e86c227345,240,4,1,2025-06-06 05:31:34.253000,2025-06-06 05:40:27.235000,532982
886f1255-5059-4770-99d8-0d7a050d9276,256,1,1,2025-06-06 05:59:42.827000,2025-06-06 09:26:19.050000,12396223
8d6b90e8-65d2-4f85-ad5e-7544bf51f3fa,224,1,1,2025-06-06 00:18:07.822000,2025-06-06 02:34:35.404000,8187582
931de23d-616f-43fe-a676-93400a027543,80,4,1,2025-06-05 19:02:46.393000,2025-06-05 19:03:08.943000,22550
a394ea6a-ba4a-48a1-98ce-66bd7cc8ba27,64,4,1,2025-06-05 19:00:40.197000,2025-06-05 19:00:49.458000,9261
a52e90d1-c3d3-4ee9-8fd0-e26e1976c9a0,80,1,1,2025-06-05 19:01:00.577000,2025-06-05 19:02:31.798000,91221
ac736f68-ed33-4bfb-a012-fe9ae4c658f2,160,1,1,2025-06-05 19:55:19.368000,2025-06-05 20:23:59.603000,1720235
af149439-9b4b-4351-a881-6354d3159e83,112,1,1,2025-06-05 19:07:58.802000,2025-06-05 19:14:39.514000,400712
b8d8a201-289b-474a-a8c2-2303308cc510,128,1,1,2025-06-05 19:15:31.640000,2025-06-05 19:28:33.707000,782067
bda7d8ac-10a6-4853-87e6-59caf4e0f183,256,4,1,2025-06-06 09:26:32.727000,2025-06-06 09:37:39.102000,666375
ccdcf1c6-f609-497d-b557-29090e7bba91,144,4,1,2025-06-05 19:50:47.781000,2025-06-05 19:55:08.593000,260812
cdb940e2-3769-40cb-a072-87b37e8b77f0,240,1,1,2025-06-06 03:06:12,2025-06-06 05:31:21.728000,8709728
df3b05fc-fed5-4095-b0c4-943ffb9526ef,208,4,1,2025-06-06 00:13:11.001000,2025-06-06 00:36:15.362000,1384361
dfe19db7-7946-462e-8096-4d8dfb935137,160,4,1,2025-06-05 20:24:13.142000,2025-06-05 20:30:55.737000,402595
e26bf2ca-6f39-4490-a312-7c64fe8c8b99,208,1,1,2025-06-05 22:43:19.748000,2025-06-06 00:12:57.682000,5377934
e4487d1f-6ab5-46c6-bff3-73c074544a78,176,1,1,2025-06-05 20:31:10.442000,2025-06-05 21:16:38.575000,2728133
e5eba0e6-86c5-4702-a917-9f58295d2b89,32,1,1,2025-06-05 18:58:33.221000,2025-06-05 18:58:34.573000,1352
e78fc9bc-c997-46c4-b855-93ac50f739ae,48,1,1,2025-06-05 18:59:03.893000,2025-06-05 18:59:15.870000,11977
ecb02c98-54e1-412d-b733-ab30cde77f50,192,4,1,2025-06-05 22:30:45.789000,2025-06-05 22:43:04.462000,738673
