SIZE,PARTS,WORKER,p=z²,p | k²,uuid,total
16,1,1,OK,OK
16,4,1,OK,OK
16,4,2,OK,OK,1857f9ee-080a-4755-92a8-7e3ab7626b7b,943
16,4,4,OK,OK,0338e558-601e-4c83-ad5c-f9a9d47ad144,590
16,16,4,OK,OK,5bef0da9-cef9-4910-b17a-b2c6d261a091,3500
16,16,8,OK,OK,912f3b67-8009-4b26-9564-e1378ea54161,2901
16,16,16,OK,OK,f066fb3d-2870-4230-8a30-87f9c282ed74,2275
32,1,1,OK,OK
32,4,1,OK,OK
32,4,2,OK,OK,70f0e5a1-195b-4bba-89f2-5655149071ac,1217
32,4,4,OK,OK,6a1a0c52-d9d0-4735-bb65-46064d9f4d06,722
32,16,4,OK,OK,8593818c-a723-4ae3-b6df-fa16d987c8bc,3406
32,16,8,OK,OK,31942bde-8947-4794-a75a-5e54eddbc5fd,2961
32,16,16,OK,OK,06456e45-713e-49f3-868e-8d091c74dac3,2114
32,64,16,OK,OK,d5f48618-0e60-40e4-8fb8-923e89ebfd7f,15580
32,64,32,OK,OK,db9e34ed-3bc3-4f95-9677-fd6d18cc0b39,11741
32,64,64,OK,OK,70a4ea7c-3c46-4981-a1c2-bc415df8604c,9053
48,1,1,OK,OK
48,4,1,OK,OK
48,4,2,OK,OK,940c14af-8619-4c59-a809-f2ad807a7ed5,1528
48,4,4,OK,OK,fdfe6ba9-fd09-436e-b4a8-bf8b6951e7a9,941
48,16,4,OK,OK,425b2270-499d-42ca-9a84-afc8925d9b11,3396
48,16,8,OK,OK,dd540b98-45a0-4b4d-9104-2003bcc0776e,3645
48,16,16,OK,OK,a4f708b7-e7e5-420e-8e27-1dc602f8d8d1,2056
48,36,9,OK,OK,da07e106-b9d1-49d0-8e7c-a78f3dcdd21a,7752
48,36,18,OK,OK,ecfadce1-858a-4df7-990c-353383c5f88a,7883
48,36,36,OK,OK,f5b7bebf-c762-4be8-a6c8-455bf83b73c6,4397
48,64,16,OK,OK,16ebcf4d-fb4e-4d5f-943c-2ebd4debe318,12661
48,64,32,OK,OK,39592b68-7972-468b-a2de-d50f6847e70a,12766
48,64,64,OK,OK,669c71d5-cd42-4c3c-ac4c-a1592e5d9c42,8331
64,1,1,OK,OK
64,4,1,OK,OK
64,4,2,OK,OK,49580e64-7b37-4769-8a51-1f1e12dba732,4796
64,4,4,OK,OK,359d3d9e-a59b-422f-b385-d057303be6d9,2805
64,16,4,OK,OK,7a8144fc-c1f5-4d93-98cf-1a5095070cd7,3985
64,16,8,OK,OK,b879bdff-c697-44a8-90ab-01433004638d,2935
64,16,16,OK,OK,6a73f86e-224c-4333-9619-6ad6f31d448a,3871
64,64,16,OK,OK,d6822d44-42d5-44c3-b377-ad79c76b4208,17130
64,64,32,OK,OK,f87496e9-96a9-44bd-8a1b-3b84949c4de9,12065
64,64,64,OK,OK,e62bf7ab-d797-444c-b643-1fc2788c91a6,8893
80,1,1,OK,OK
80,4,1,OK,OK
80,4,2,OK,OK,7fdaa2d1-ba46-48de-8940-440dffdcf15f,12051
80,4,4,OK,OK,c5d2869e-1890-489b-aef7-8d30558783dc,6577
80,16,4,OK,OK,a1bb1c96-c2fd-4e27-83ea-32d384602915,3771
80,16,8,OK,OK,4c1c30c2-2099-4c4c-8fb5-beda6de0dae5,3230
80,16,16,OK,OK,ede39d33-8ee8-4a5f-be00-3a177f64672d,2163
