SIZE,PARTS,WORKER,Run1,Run2
112,1,1,479286,400712
112,16,16,2285,3419
112,16,4,10752,6059
112,16,8,4243,4032
112,196,196,24726,24623
112,196,49,23862,28610
112,196,98,36881,38460
112,256,128,15211,49101
112,256,256,33605,33593
112,256,64,31534,8418
112,4,1,25339,26149
112,4,2,23761,53343
112,4,4,48100,24986
112,64,16,13531,14745
112,64,32,12633,12270
112,64,64,8167,8295
128,1,1,810455,782067
128,16,16,3306,3409
128,16,4,44384,9694
128,16,8,6116,4928
128,256,128,89993,53208
128,256,256,,46921
128,256,64,45136,50173
128,4,1,80290,159305
128,4,2,98124,43661
128,4,4,39071,39770
128,64,16,15832,16055
128,64,32,11620,12560
128,64,64,30865,
144,1,1,1348359,1137686
144,144,144,17611,16942
144,144,36,13727,23144
144,144,72,28698,9388
144,16,16,4806,4510
144,16,4,49280,14149
144,16,8,7736,8015
144,256,128,52841,15983
144,256,256,34644,71788
144,256,64,35963,8408
144,4,1,275485,260812
144,4,2,68428,88169
144,4,4,59301,69455
144,64,16,14555,15549
144,64,32,11842,12805
144,64,64,15737,6918
16,1,1,278,273
16,16,16,2322,2337
16,16,4,5415,3616
16,16,8,2687,3217
16,4,1,1802,1816
16,4,2,1106,1042
16,4,4,754463,452
160,1,1,2005801,1720235
160,100,100,11822,11719
160,100,25,23246,28307
160,100,50,18447,20024
160,16,16,6876,6282
160,16,4,17280,22371
160,16,8,12397,12171
160,256,128,16126,66034
160,256,256,,19950
160,256,64,27461,49232
160,4,1,317446,402595
160,4,2,167671,153946
160,4,4,108706,106269
160,64,16,12687,13730
160,64,32,12759,11906
160,64,64,13075,44902
176,1,1,2954740,2728133
176,16,16,10722,9473
176,16,4,139328,32729
176,16,8,17113,17689
176,256,128,,26430
176,256,256,34356,14715
176,256,64,45235,46795
176,4,1,322328,138904
176,4,2,250716,311225
176,4,4,153230,135711
176,64,16,16082,13688
176,64,32,10932,12808
176,64,64,24143,8546
192,1,1,4329498,4271992
192,144,144,27302,27277
192,144,36,41939,19744
192,144,72,8316,13508
192,16,16,14217,15301
192,16,4,161691,74744
192,16,8,23429,24331
192,256,128,99074,60857
192,256,256,,
192,256,64,15540,9509
192,4,1,210908,738673
192,4,2,470061,471212
192,4,4,216547,189053
192,64,16,12237,12789
192,64,32,12544,12530
192,64,64,8806,7239
208,1,1,6551379,5377934
208,16,16,18631,18405
208,16,4,277604,152506
208,16,8,15454,17011
208,256,128,25492,17486
208,256,256,34043,125477
208,256,64,37261,8520
208,4,1,313978,283249
208,4,2,359324,495476
208,4,4,318682,351687
208,64,16,12777,15087
208,64,32,13084,13535
208,64,64,40312,39840
224,1,1,8758018,8187582
224,16,16,27261,22202
224,16,4,404571,152821
224,16,8,26955,54765
224,196,196,,35017
224,196,49,20070,51744
224,196,98,29404,11589
224,256,128,95535,63279
224,256,256,,32728
224,256,64,32011,46516
224,4,1,1993285,372881
224,4,2,599859,
224,4,4,456837,382111
224,64,16,15607,16299
224,64,32,11490,13652
224,64,64,23033,44476
240,1,1,10018692,8709728
240,100,100,17594,
240,100,25,11745,21824
240,100,50,14576,7888
240,16,16,33433,30856
240,16,4,908255,
240,16,8,70389,63112
240,256,128,53050,46266
240,256,256,,51405
240,256,64,47591,27025
240,4,1,572028,532982
240,4,2,613558,
240,4,4,619645,
240,64,16,16548,14866
240,64,32,12711,12937
240,64,64,24178,7902
256,1,1,,12396223
256,16,16,44168,40741
256,16,4,369607,
256,16,8,38622,74119
256,256,128,11557,15562
256,256,256,33762,31353
256,256,64,35015,27580
256,4,1,,666375
256,4,2,2652475,
256,4,4,731516,
256,64,16,14415,13439
256,64,32,11779,14113
256,64,64,9135,30346
32,1,1,2180,1352
32,16,16,1816,2277
32,16,4,4537,3176
32,16,8,2882,3513
32,4,1,2164,2093
32,4,2,960,1231
32,4,4,1051,631
32,64,16,13688,13358
32,64,32,12672,12722
32,64,64,7742,7967
48,1,1,14815,11977
48,16,16,2041,2268
48,16,4,4563,3586
48,16,8,3253,3152
48,36,18,7683,7619
48,36,36,4090,4145
48,36,9,8004,7234
48,4,1,3529,3671
48,4,2,1956,2165
48,4,4,1705,883
48,64,16,12004,13446
48,64,32,12737,12231
48,64,64,8172,8314
64,1,1,44598,40773
64,16,16,2319,1535
64,16,4,5451,3437
64,16,8,3097,3273
64,4,1,10436,9261
64,4,2,4594,5229
64,4,4,4855,2712
64,64,16,13531,13423
64,64,32,12412,12240
64,64,64,7949,8082
80,1,1,120034,91221
80,16,16,2486,2825
80,16,4,5956,3942
80,16,8,3160,3364
80,4,1,10431,22550
80,4,2,13471,12677
80,4,4,12471,5459
80,64,16,13696,13547
80,64,32,9908,12663
80,64,64,7986,8019
96,1,1,238600,232920
96,36,18,7648,8431
96,36,36,4516,4613
96,36,9,8474,8583
96,4,1,24095,32137
96,4,2,25859,23479
96,4,4,25104,13100
