mapID,mapSize,chunkCount,numberOfWorkers,startTime,endTime,totalDuration
0e294410-81f5-4ada-ba9c-8a5c5e0e6ebb,128,64,64,2025-06-06 18:40:37.318000,2025-06-06 18:40:45.687000,8369
5201e1c4-5cde-45c0-9678-a000ca9fb88d,160,256,256,2025-06-06 18:26:41.173000,2025-06-06 18:27:19.179000,38006
77f33c96-8c6c-40d4-ada8-c04baf7899bf,192,256,256,2025-06-06 18:29:20.736000,2025-06-06 18:29:58.175000,37439
822104fd-09d1-425d-8a30-3558425de454,256,16,4,2025-06-06 18:50:15.728000,2025-06-06 18:52:47.748000,152020
91a1af91-1a62-40d1-ae01-b9a5636391c6,240,100,100,2025-06-06 18:47:56.174000,2025-06-06 18:48:10.391000,14217
a60ab856-d2c3-45a0-abff-8f0fe9b88aaa,224,256,256,2025-06-06 18:34:19.312000,2025-06-06 18:34:57.006000,37694
c021d5ed-af9a-46d6-a78f-9714688762c7,224,196,196,2025-06-06 18:45:09.447000,2025-06-06 18:45:38.621000,29174
e9ea5bf4-277d-411e-bc37-d68ae54b3579,240,256,256,2025-06-06 18:37:15.298000,2025-06-06 18:37:53.704000,38406
ec24407e-6194-4814-933a-565f249780a6,192,256,256,2025-06-06 18:31:48.570000,2025-06-06 18:32:26.898000,38328
f37dca39-5ee2-46c4-9787-598ce8d6532d,240,16,4,2025-06-06 18:54:14.504000,2025-06-06 18:56:11.086000,116582
fd951826-e8b0-4982-bddf-7059343816ff,176,256,128,2025-06-06 18:42:39.458000,2025-06-06 18:43:31.997000,52539
ff8b19b5-06aa-46af-810d-d9db36a0c298,128,256,256,2025-06-06 18:23:53.359000,2025-06-06 18:24:31.260000,37901
