mapID,mapSize,chunkCount,numberOfWorkers,startTime,endTime,totalDuration
07d970d6-b0a4-41a2-be22-a192beb50c74,112,64,16,2025-06-02 17:38:13.562000,2025-06-02 17:38:27.327000,13765
0b010fdf-7ab8-4830-9bfe-f9a28f82eb75,256,64,32,2025-06-02 17:50:18.635000,2025-06-02 17:50:32.033000,13398
0d64f943-0c43-4e84-972c-3c807686a269,240,16,8,2025-06-02 17:11:26.973000,2025-06-02 17:12:37.362000,70389
125cb2a9-18c5-4f8b-a365-d44a49a67b16,240,64,16,2025-06-02 17:44:10.250000,2025-06-02 17:44:26.798000,16548
1484163d-19e9-4523-a973-036ffb4a3235,160,64,32,2025-06-02 17:48:21.399000,2025-06-02 17:48:34.625000,13226
18e35027-cbb5-4baa-9f76-db7d6a123985,32,64,16,2025-06-02 17:35:49.718000,2025-06-02 17:36:03.406000,13688
19909abf-2c4a-46bf-bd0f-0d1bd2819ff5,160,16,8,2025-06-02 17:09:08.907000,2025-06-02 17:09:21.304000,12397
1a284228-b7e0-4039-9f05-6b450895d368,224,196,98,2025-06-02 18:00:04.141000,2025-06-02 18:00:43.904000,39763
1b0aebab-5eb8-4eba-a165-bc1c78b526a2,224,64,32,2025-06-02 17:49:45.700000,2025-06-02 17:49:59.275000,13575
1d3765da-1f91-4795-8bb7-cfa5647dd262,256,16,16,2025-06-02 17:44:30.986000,2025-06-02 17:45:15.154000,44168
1e4309af-52ab-4b32-95a0-5cecd7d19f30,112,16,16,2025-06-02 17:37:57.901000,2025-06-02 17:38:00.186000,2285
1e7c5761-4ff3-40e9-82a9-a07dfd8068a5,160,100,25,2025-06-02 18:03:46.083000,2025-06-02 18:04:09.329000,23246
234e4db8-3846-43b3-85ba-ab9fb2a0af2c,160,16,16,2025-06-02 17:39:46.489000,2025-06-02 17:39:53.365000,6876
2516f1ef-d1a2-43f7-9ded-50794a3a029a,176,16,16,2025-06-02 17:40:22.681000,2025-06-02 17:40:33.403000,10722
266d2c68-af30-4b1f-b58e-7a9ddf9e501e,240,16,16,2025-06-02 17:43:29.268000,2025-06-02 17:44:02.701000,33433
27006449-c214-4f80-b697-e6a331219baf,96,36,9,2025-06-02 17:53:32.049000,2025-06-02 17:53:40.523000,8474
2cecfb90-c367-411e-90d2-4a0954723f25,16,16,16,2025-06-02 17:35:18.901000,2025-06-02 17:35:21.223000,2322
30f76a51-7d14-4a3e-a0f5-d79259f0f978,256,16,8,2025-06-02 17:12:47.918000,2025-06-02 17:14:05.393000,77475
4294e006-c67c-4a6e-83a6-05999f43b60f,192,144,36,2025-06-02 17:04:08.565000,2025-06-02 17:04:50.504000,41939
447ff2b0-9ed4-4148-b5cb-35bb19a9f7b2,64,16,8,2025-06-02 17:07:46.443000,2025-06-02 17:07:49.540000,3097
473268dd-4d04-4ef7-b8e9-3c69dbe66293,128,16,8,2025-06-02 17:08:32.901000,2025-06-02 17:08:39.017000,6116
4c3b2472-883a-4b5a-b892-f8e7b6bd4fa3,144,64,32,2025-06-02 17:48:04.889000,2025-06-02 17:48:16.731000,11842
4f876818-e9a1-4d68-b035-f28351689044,80,64,32,2025-06-02 17:47:15.762000,2025-06-02 17:47:25.670000,9908
519441db-fab6-48ad-a644-7d3e5d3b5597,48,16,16,2025-06-02 17:36:15.154000,2025-06-02 17:36:17.195000,2041
521d343b-549e-4268-82aa-30a47708eb5b,64,64,32,2025-06-02 17:47:00.272000,2025-06-02 17:47:13.271000,12999
52861a39-68d0-499f-9ac3-6c3b57326384,176,64,32,2025-06-02 17:48:37.081000,2025-06-02 17:48:48.013000,10932
5548ec8f-93f7-4bfb-a2fc-9e5cfb17718d,80,64,16,2025-06-02 17:37:42.464000,2025-06-02 17:37:56.160000,13696
58828ccf-b9e6-4fe5-80cb-86f5db7c12bf,48,36,36,2025-06-02 17:03:21.049000,2025-06-02 17:03:25.139000,4090
5d6ee91d-cbd4-4eca-b499-d9d6c0869306,64,64,16,2025-06-02 17:37:01.478000,2025-06-02 17:37:15.009000,13531
63596a21-e958-4095-9579-53ac3c88a652,48,64,16,2025-06-02 17:36:30.606000,2025-06-02 17:36:45.117000,14511
680651e5-ba72-4b5b-b87f-2799daa2f5b2,192,16,8,2025-06-02 17:09:50.039000,2025-06-02 17:10:13.468000,23429
68955ca6-bbb7-4ebd-b266-e705beec4e16,64,16,16,2025-06-02 17:36:45.983000,2025-06-02 17:36:48.302000,2319
695a2851-6c9c-4fe1-9b92-49945d26c429,144,144,36,2025-06-02 17:03:52.506000,2025-06-02 17:04:23.497000,30991
6d54d67f-5c79-4865-a2f0-13aadb025bb5,192,16,16,2025-06-02 17:41:09.516000,2025-06-02 17:41:23.733000,14217
6ed5cf17-e0b8-4b4c-bb27-65fb9e1073e8,240,100,25,2025-06-02 18:04:17.217000,2025-06-02 18:04:41.447000,24230
73fc665e-8109-4fb1-9204-82c7dd989884,240,100,50,2025-06-02 18:05:39.563000,2025-06-02 18:05:56.383000,16820
761278af-c28a-433f-85d5-266ee229fb80,80,16,8,2025-06-02 17:08:01.970000,2025-06-02 17:08:05.130000,3160
78f807a7-59fc-47f0-b5db-cf155f939fa0,160,64,16,2025-06-02 17:40:07.175000,2025-06-02 17:40:23.150000,15975
7bc31393-ed90-4f85-ab3e-a880d4cef0ec,176,64,16,2025-06-02 17:40:43.867000,2025-06-02 17:40:59.950000,16082
7fe6e0fe-d231-41c4-957e-fba6d7233a28,224,16,8,2025-06-02 17:10:51.304000,2025-06-02 17:11:38.820000,47516
81dc1002-3dfa-43fb-92ce-223c0401f000,224,16,16,2025-06-02 17:42:32.549000,2025-06-02 17:42:59.810000,27261
879e2827-9b68-4368-ab52-bd12a58a6798,112,64,32,2025-06-02 17:47:32.907000,2025-06-02 17:47:46.170000,13263
89bff205-11e2-437e-bbe0-515795a36761,128,64,32,2025-06-02 17:47:48.571000,2025-06-02 17:48:00.840000,12269
8be79b64-58ea-4ec1-b527-c080f280796c,208,64,32,2025-06-02 17:49:19.738000,2025-06-02 17:49:32.822000,13084
8eff5ebc-f5b7-421a-99c4-1c36e00a35b7,32,16,8,2025-06-02 17:07:15.639000,2025-06-02 17:07:18.521000,2882
93441991-e536-44be-a41c-df7a409d6272,80,16,16,2025-06-02 17:37:26.948000,2025-06-02 17:37:29.434000,2486
9470c68a-6816-4c02-b156-882d200281eb,128,16,16,2025-06-02 17:38:29.027000,2025-06-02 17:38:32.333000,3306
9faa2856-13ce-41a7-94d4-98f365826be8,96,36,36,2025-06-02 17:03:36.607000,2025-06-02 17:03:41.123000,4516
a034101f-96f7-4648-a21e-51d200188525,128,64,16,2025-06-02 17:38:44.740000,2025-06-02 17:39:00.572000,15832
a3e42163-cf69-41df-aac8-7b5f82415c45,208,16,16,2025-06-02 17:41:50.938000,2025-06-02 17:42:09.569000,18631
a63dc5bd-ef55-495d-b0fd-640b75922b3f,112,196,49,2025-06-02 17:57:31.487000,2025-06-02 17:58:10.771000,39284
b3247873-c21d-4060-833e-d4f7d037f36f,16,16,8,2025-06-02 17:07:00.278000,2025-06-02 17:07:02.965000,2687
b38d00e3-d79d-4959-9b91-5dd22f285116,144,16,16,2025-06-02 17:39:10.261000,2025-06-02 17:39:15.067000,4806
b6bc6688-3140-418f-b72d-68366c0f58ec,32,64,32,2025-06-02 17:46:14.211000,2025-06-02 17:46:26.883000,12672
bc34040e-f861-4de3-aed5-00ace4fb6453,256,64,16,2025-06-02 17:45:22.013000,2025-06-02 17:45:37.648000,15635
be2a8f99-c232-45ef-8e1f-ec0e5e98c42f,96,36,18,2025-06-02 17:54:41.776000,2025-06-02 17:54:49.424000,7648
be584101-6cd5-47fa-9b49-672c22b592c4,208,16,8,2025-06-02 17:10:25.698000,2025-06-02 17:10:58.657000,32959
c24b7ac8-4a1b-46b8-8d4b-53b3ced35796,208,64,16,2025-06-02 17:42:16.936000,2025-06-02 17:42:33.392000,16456
c3a97361-391b-48d4-afb5-cf6f81d35a72,176,16,8,2025-06-02 17:09:24.441000,2025-06-02 17:09:41.554000,17113
cb41bdd9-346a-4620-b29d-d4944f0e42bb,240,64,32,2025-06-02 17:50:01.512000,2025-06-02 17:50:14.223000,12711
cca20774-4ff0-4129-a9c5-cd0b8bd792c8,160,100,50,2025-06-02 18:05:18.218000,2025-06-02 18:05:38.221000,20003
d08951fe-392b-4ef9-8c9d-3bfd6c2ad5a3,144,144,72,2025-06-02 17:55:41.329000,2025-06-02 17:56:10.027000,28698
d3a03605-4d83-4750-91f6-ec2b4f630fe5,224,196,49,2025-06-02 17:58:03.933000,2025-06-02 17:58:44.665000,40732
d5979bec-2f6b-4693-a9d4-7bd60dbb0594,224,64,16,2025-06-02 17:43:08.464000,2025-06-02 17:43:24.071000,15607
d68fcf64-68c1-4415-ad42-6c9366211e6b,112,196,98,2025-06-02 17:59:22.885000,2025-06-02 18:00:02.220000,39335
d8e52e3d-3f32-4d49-879e-69017334da41,192,64,16,2025-06-02 17:41:35.280000,2025-06-02 17:41:51.647000,16367
d961a90d-818f-4905-bebb-4660f3d81071,48,36,9,2025-06-02 17:53:16.587000,2025-06-02 17:53:24.591000,8004
db3e4d1b-602c-4a66-b0de-8ed9fc8b0ae5,48,36,18,2025-06-02 17:54:26.308000,2025-06-02 17:54:33.991000,7683
e4b4b7ba-98cf-42fa-86bb-4b306bee3ad7,192,64,32,2025-06-02 17:48:53.837000,2025-06-02 17:49:06.381000,12544
e888fbdc-773c-460e-8db6-16db2a7c1c20,112,16,8,2025-06-02 17:08:17.422000,2025-06-02 17:08:21.665000,4243
e9f66942-78b9-4223-9b56-45c40ea4651b,48,64,32,2025-06-02 17:46:39.732000,2025-06-02 17:46:52.469000,12737
f0e2bfbb-e023-4ea8-b3ad-0e8baa59d43f,192,144,72,2025-06-02 17:56:17.341000,2025-06-02 17:56:45.496000,28155
f5045438-632e-4e9b-993e-f403a0c193e1,32,16,16,2025-06-02 17:35:34.262000,2025-06-02 17:35:36.078000,1816
f787b666-cfc4-4865-a5de-43e68d5c9bc1,144,16,8,2025-06-02 17:08:53.400000,2025-06-02 17:09:01.136000,7736
fac69494-fb2c-4d4c-a5e8-4a8b83fbc5ee,48,16,8,2025-06-02 17:07:31.019000,2025-06-02 17:07:34.272000,3253
ff375b40-e2f9-40ae-a94f-b101e4e34134,144,64,16,2025-06-02 17:39:25.932000,2025-06-02 17:39:40.487000,14555
