mapID,mapSize,chunkCount,numberOfWorkers,startTime,endTime,totalDuration
076ce6cb-8d5d-4470-9eeb-7e7269b6bfed,112,4,1,2025-06-02 19:18:48.064000,2025-06-02 19:20:29.042000,100978
15458144-93ad-4800-bef6-e43b39de6629,224,1,1,2025-06-03 00:49:57.198000,2025-06-03 03:15:55.216000,8758018
18faf37f-73a7-4f6d-8f15-fe4086b2cafe,32,4,1,2025-06-02 19:01:15.141000,2025-06-02 19:01:17.305000,2164
211f3f4f-cd6e-4e06-a8f4-503685b6fa19,144,1,1,2025-06-02 19:34:43.604000,2025-06-02 19:57:11.963000,1348359
224848f2-e945-4db1-95ec-913f301a52aa,224,4,1,2025-06-03 03:16:09.352000,2025-06-03 03:49:22.637000,1993285
285277b9-f04e-4c28-bdf9-c0647ee2d920,192,1,1,2025-06-02 21:39:06.024000,2025-06-02 22:51:15.522000,4329498
29ad7482-4ef4-4c49-aae5-11be36bbb400,240,1,1,2025-06-03 03:49:34.314000,2025-06-03 06:36:33.006000,10018692
2a06326c-50c8-48e1-8bfa-940b2ae6d9f9,240,4,1,2025-06-03 06:36:47.375000,2025-06-03 06:46:19.403000,572028
344d7e22-9cb7-47ac-bdba-bf5a47c64763,192,4,1,2025-06-02 22:51:27.030000,2025-06-02 22:54:57.938000,210908
425d7e22-a9af-46b9-a9c7-d8085c0e0a54,64,1,1,2025-06-02 19:02:11.243000,2025-06-02 19:02:55.841000,44598
44f74479-3760-4be3-8526-3fd7cf3a5088,32,1,1,2025-05-26 12:19:42.440000,2025-05-26 12:19:45.344000,2904
46268fe2-6974-4aa8-95ff-1f4584d7183d,144,4,1,2025-06-02 19:57:25.331000,2025-06-02 20:02:00.816000,275485
4a723762-f260-446d-b34d-a271ef846b4c,112,1,1,2025-06-02 19:10:35.401000,2025-06-02 19:18:34.687000,479286
4aaf214e-5446-4599-9c8a-51fc56ac09c1,128,4,1,2025-06-02 19:33:12.840000,2025-06-02 19:36:00.907000,168067
56326d5c-3178-41ae-b18a-d2d7d675d891,208,4,1,2025-06-03 00:44:30.237000,2025-06-03 00:49:44.215000,313978
577d30f2-1e38-4aec-8c29-b4f2e5180bfe,16,4,1,2025-06-02 19:00:44.482000,2025-06-02 19:00:46.284000,1802
58301ac7-9ab2-4ba6-8058-bc4269278b28,80,4,1,2025-06-02 19:05:43.107000,2025-06-02 19:06:05.515000,22408
5b43f4f3-d94c-41fb-92cf-5a462e1a967e,128,1,1,2025-06-02 19:19:28.574000,2025-06-02 19:32:59.029000,810455
5d8926c0-73fe-4ec0-accf-c1e4f847a617,176,1,1,2025-06-02 20:41:23.898000,2025-06-02 21:30:38.638000,2954740
6688f6e7-5aae-484b-b51f-e7b8c7b1383a,256,1,1,2025-06-03 07:17:34.434000,,
7348522c-7289-4c2b-b26a-92acbb239492,160,4,1,2025-06-02 20:35:51.976000,2025-06-02 20:42:49.729000,417753
7bbd4adc-77eb-4c2f-b126-559e0065bb57,48,1,1,2025-06-02 19:01:30.484000,2025-06-02 19:01:45.299000,14815
80c26356-a671-4080-97d9-e0129f80d2b9,96,1,1,2025-06-02 19:05:58.475000,2025-06-02 19:09:57.075000,238600
b276750f-f1ca-434a-89dd-9d9c6c02acc4,64,4,1,2025-06-02 19:03:06.801000,2025-06-02 19:03:17.237000,10436
bd2190c3-1e4b-4151-838c-9f04c3ceb3c0,96,4,1,2025-06-02 19:10:09.981000,2025-06-02 19:10:59.496000,49515
bf1202fb-4a82-4930-82c0-56756d279ba8,208,1,1,2025-06-02 22:55:08.453000,2025-06-03 00:44:19.832000,6551379
ccc480d4-a9ee-4874-923b-d4ad98c95e5d,48,4,1,2025-06-02 19:01:55.884000,2025-06-02 19:01:59.413000,3529
ccfaaa1c-1ae6-4500-aafb-2ec91b51413c,32,1,1,2025-05-26 12:08:32.126000,2025-05-26 12:08:34.394000,2268
cda25939-195d-45e8-8522-9ffeb8a75e2a,16,1,1,2025-06-02 19:00:29.102000,2025-06-02 19:00:29.380000,278
da0bd4c5-0f29-4b86-8f95-4bff465ea9d5,32,1,1,2025-06-02 19:00:59.809000,2025-06-02 19:01:01.989000,2180
e0722671-e648-4ff6-96a4-9d2a6d0ac351,160,1,1,2025-06-02 20:02:12.013000,2025-06-02 20:35:37.814000,2005801
ee87675c-66ae-4abe-bf2c-1cbf2fcfee92,176,4,1,2025-06-02 21:30:53.316000,2025-06-02 21:36:15.644000,322328
fd5b3365-b712-4cf9-90b7-dda197e0b400,80,1,1,2025-06-02 19:03:32.199000,2025-06-02 19:05:32.233000,120034
