SIZE,PARTS,WORKER,p=z²,p | k²,uuid,total
16,1,1,OK,OK,b9ac86c4-9fd1-4af5-a32c-b6cd0f5d962a,296
16,4,1,OK,OK,bf667006-11f1-4ecd-8e73-ee37c507d6b8,2107
16,4,2,OK,OK
16,4,4,OK,OK,49bfb0b0-93d0-4609-9ced-3d1eb57e0007,556
16,16,4,OK,OK,7b3c5e13-1caa-4150-8a86-3cbcea2005c2,3280
16,16,8,OK,OK,0abb9a60-619c-4460-b9c5-f1fafdcd407b,3236
16,16,16,OK,OK,e852b050-3368-4767-bf64-5c02a0d115ab,1863
32,1,1,OK,OK,d2ea5ec3-4a52-4f98-b9aa-3edab80fa126,2009
32,4,1,OK,OK,6051cd76-9918-443b-b312-f6993e2c639d,2141
32,4,2,OK,OK
32,4,4,OK,OK,91a816ba-bb11-4089-bfeb-c6a178e02e9d,600
32,16,4,OK,OK,39f77726-9f97-47e7-9c86-8f171943dab0,3617
32,16,8,OK,OK,e912b070-6164-4788-b6bb-cb5ecff952b6,3772
32,16,16,OK,OK,11c39e5a-dd57-40cc-9164-5a322e6f2e03,2228
32,64,16,OK,OK,439578dc-75c1-459b-a6ee-ba09207ff85b,13328
32,64,32,OK,OK,a7bbfa09-6b08-4591-86aa-5a5d66db55aa,11925
32,64,64,OK,OK,28603f5d-ef3f-43a8-90b4-b2211aa0325b,8619
48,1,1,OK,OK,1fd03a4f-145f-4de0-815a-7692c6439b73,12123
48,4,1,OK,OK,6905802c-c600-4641-809e-ac3d57385579,3496
48,4,2,OK,OK
48,4,4,OK,OK,edf22d25-c1c0-493e-894a-7d71036a1133,826
48,16,4,OK,OK,884c0c1c-c168-42cd-bf46-0c0d55316508,3165
48,16,8,OK,OK,e07bf772-a620-4d16-9cc0-bfe068fd0040,2945
48,16,16,OK,OK,97b68d31-ef54-4ad4-9e0e-cce994a8bd32,2060
48,36,9,OK,OK,53747ff8-8814-4ca9-bf99-cd2167eb6204,7914
48,36,18,OK,OK,c0e680a2-579a-4bae-bdb2-c040f0fb30d9,7454
48,36,36,OK,OK,047b2344-fde9-470e-aab7-4441ebcb1b56,4401
48,64,16,OK,OK,bedef31f-7d8e-4a08-a99c-992bbeec3c60,13577
48,64,32,OK,OK,cd1227a6-c487-440d-b547-2e05a057b8d4,12873
48,64,64,OK,OK,a721644b-2f2c-4b02-9772-aaccdffdc69d,8793
64,1,1,OK,OK,4ef1630f-dd71-43a9-a859-6198b4131ff5,39416
64,4,1,OK,OK,a3c8e6cd-f84d-4826-89e1-fbccd2bf4507,9128
64,4,2,OK,OK
64,4,4,OK,OK,ab2e82fc-0212-473d-8e1c-6b0164c4467c,2588
64,16,4,OK,OK,820df4bb-2e70-4b2c-b8a5-4bf0a52bce64,3769
64,16,8,OK,OK,648ed05a-4788-4371-a3e0-0bc6430f4e52,3010
64,16,16,OK,OK,3ce8708a-fd23-4101-9f12-8d7139a8faad,2230
64,64,16,OK,OK,5b5d8f1d-59df-43b1-ae68-1549d30294d0,13411
64,64,32,OK,OK,a9062fa3-94a2-4ff9-a0c3-4c59c1753fad,12234
64,64,64,OK,OK,ece7ff34-6e65-40b2-8d8b-a9b6e9a2b355,8441
80,1,1,OK,OK,43b7d4e6-959a-481c-a286-7ef9824e2a97,94705
80,4,1,OK,OK,675c13c0-93ca-47e4-a5cf-38999af0337b,18615
80,4,2,OK,OK
80,4,4,OK,OK,6d405ab7-d779-4c0f-8324-d62e8bce26c7,5815
80,16,4,OK,OK,43999a1e-bc63-4751-b12b-a92c82db9ce3,4022
80,16,8,OK,OK,6a6d9cd1-387c-41b4-864d-ec447620b1eb,3068
80,16,16,OK,OK,a6eaaa93-6e06-4a43-aa2e-7e098ad2beee,2668
80,64,16,OK,OK,2a5379ac-b04e-4b39-ad39-c306c3577791,15973
80,64,32,OK,OK,e6e8a09e-2ba6-42a5-a126-fef594f654d7,12121
80,64,64,OK,OK,da9b554c-09ec-47a9-b475-2f34d811931f,8739
96,1,1,OK,OK,60bfb656-8b27-4068-bd66-9f11cfc51398,214485
96,4,1,OK,OK,fbd68a96-c6b8-4509-a540-e31aba11ee07,44507
96,4,2,OK,OK
96,4,4,OK,OK,9c3c7695-0977-4551-90e7-9f4b4161b3d6,11903
96,36,9,OK,OK,3a8c2d8a-25d9-42e5-83f5-cb3bef4e81d7,7128
96,36,18,OK,OK,0d424e3d-59bd-41e9-b2f8-d9947cce1402,8229
96,36,36,OK,OK,04435cbc-2fbc-465d-ba2d-8d8ff8157f7e,4598
112,1,1,OK,OK,0a686e5f-8142-4dd4-9573-37b0928ce1b7,411132
112,4,1,OK,OK,57407750-dfb7-469b-9369-5d7ac0ed48e7,87583
112,4,2,OK,OK
112,4,4,OK,OK,bb9efe1c-659d-4c55-a375-984276ea2691,24756
112,16,4,OK,OK,dd506239-178a-4405-9536-de3ce26c34f9,5854
112,16,8,OK,OK,9d42d27b-fdfd-4971-8c6b-44d15e1bd01a,4033
112,16,16,OK,OK,3a7ff94e-89cf-4348-a3d2-45956d880995,2590
112,64,16,OK,OK,2bee1290-e92b-47d4-8814-d7e8709e46ec,16918
112,64,32,OK,OK,05a5b794-ca23-45c7-865c-6d644ad3eeb1,12498
112,64,64,OK,OK,7db617d1-f3b8-4d33-8ef8-2b81254b7b96,8751
112,196,49,OK,OK,62fc07be-ae52-426c-8f59-4da46b31c9e3,40039
112,196,98,OK,OK
112,196,196,OK,OK
112,256,64,OK,OK,7f0eb738-d669-4f06-a109-6c4ceffa431d,59254
112,256,128,OK,OK
112,256,256,OK,OK
128,1,1,OK,OK,a7447824-dff1-43ac-aa55-77c05ebd0892,744729
128,4,1,OK,OK,05b0aa2e-c190-49be-b262-5118bec364d2,117083
128,4,2,OK,OK
128,4,4,OK,OK,06f92d16-a0a9-4564-9612-3a9d6be7118b,41760
128,16,4,OK,OK,2381e0ab-805d-4e00-a0bf-b055ec67d465,10136
128,16,8,OK,OK,d0b8a3e0-9e68-4c3a-9124-ace83a5e46db,5786
128,16,16,OK,OK,b337cee7-de37-4a61-8950-9173ff5e6841,3292
128,64,16,OK,OK,02e6c68e-2bf0-499a-b804-6d894dc7d929,16190
128,64,32,OK,OK,62062202-46fd-4a52-83b5-9c70df97b7d4,12031
128,64,64,OK,OK,9514e955-13b3-4adf-aaa6-a4fefae8a722,8843
128,256,64,OK,OK,36ac8117-830c-4131-9fdc-2329e2221177,50761
128,256,128,OK,OK
128,256,256,OK,OK
144,1,1,OK,OK,32a269e8-b460-437b-b77e-233a586f4291,1154164
144,4,1,OK,OK,80827570-4187-49bc-b4bd-338885b55b63,253928
144,4,2,OK,OK
144,4,4,OK,OK,b128d049-4014-44c9-a192-fc4a514d5eb4,75387
144,16,4,OK,OK,7e99ef5b-646f-4b6e-a822-110a68dfa311,13512
144,16,8,OK,OK,f5458e72-6105-4805-8479-4be680e3eee7,7378
144,16,16,OK,OK,57f720cc-5d07-40af-a279-8436132b359c,4674
144,64,16,OK,OK,acbcdaf3-6e24-4ea7-914f-a9b57ca1cfa0,16181
144,64,32,OK,OK,e6f7dd78-756c-4a05-858f-01ab674c5388,12591
144,64,64,OK,OK,29387af4-2c09-49a4-af69-0ad8aecd7b46,9071
144,144,36,OK,OK,9508d8b1-fc37-459d-92a0-6388694e9fcd,26706
144,144,72,OK,OK
144,144,144,OK,OK
144,256,64,OK,OK,36479359-9132-41ce-b40a-9825221eeb60,49896
144,256,128,OK,OK
144,256,256,OK,OK
160,1,1,OK,OK
160,4,1,OK,OK
160,4,2,OK,OK
160,4,4,OK,OK,8bfd927b-cc28-40b2-a0b9-f0a3c4a4f010,103990
160,16,4,OK,OK,91233308-c562-41a6-a67b-11ba0c55bee0,23514
160,16,8,OK,OK,ddf8d815-d8f5-4d06-a3a6-bbe11d7009a7,11132
160,16,16,OK,OK,6880aa25-b5e1-46fc-937f-03aa98c13621,6448
160,64,16,OK,OK,9d953bf6-094b-404a-9744-7fee8cd3bfe3,16113
160,64,32,OK,OK,c9c40fae-849b-47ef-a1a0-506b71aa01d3,13299
160,64,64,OK,OK,51231074-347a-4206-acc8-aac7a7f4614f,9109
160,100,25,OK,OK,32c81e83-f3ee-4282-90a6-5f3a89af0d4c,19037
160,100,50,OK,OK,6fd5663e-d617-4bd1-9e0e-66ae9b943407,19908
160,100,100,OK,OK
160,256,64,OK,OK,8aa7488b-a959-428d-b649-16d072e4605f,57337
160,256,128,OK,OK
160,256,256,OK,OK
176,1,1,OK,OK
176,4,1,OK,OK
176,4,2,OK,OK
176,4,4,OK,OK,8b2a43db-4109-422d-928f-978171129899,156084
176,16,4,OK,OK,67018db1-f94e-4ed2-9080-23b14c562d04,32976
176,16,8,OK,OK,586a43a1-6b1d-4d26-b750-f80ede533af3,19537
176,16,16,OK,OK,5eb9b2be-8946-4c17-a6bc-f055fe02262c,9722
176,64,16,OK,OK,687bf5e3-a3c8-4da6-8fd9-abc29a6fe5ae,17040
176,64,32,OK,OK,dd2d4e81-0fb1-4628-8f54-304d92b24079,12878
176,64,64,OK,OK,3c321fa5-8d44-4834-bdd2-d2cd64f0be7d,9377
176,256,64,OK,OK,0ff72e69-8ae1-4128-b215-3b1bf7ea2bd3,55680
176,256,128,OK,OK
176,256,256,OK,OK
192,1,1,OK,OK
192,4,1,OK,OK
192,4,2,OK,OK
192,4,4,OK,OK,557fba3c-28a6-473d-9855-00e7dc1ab7e5,220677
192,16,4,OK,OK,b452a340-37ed-4b33-af94-44d5c16de429,58664
