SIZE,PARTS,WORKER,p=z²,p | k²,uuid,total
16,1,1,OK,OK
16,4,1,OK,OK
16,4,2,OK,OK,0a0289b5-11cb-4f08-89b3-b56918be539a,1099
16,4,4,OK,OK,4d63457b-7c92-49ff-a596-35a4c959715a,519
16,16,4,OK,OK,2bc453ec-3ff7-4050-89a1-a5921aceef62,3354
16,16,8,OK,OK,be330ba5-6b4e-40c9-aac7-d238c0dd1173,2891
16,16,16,OK,OK,905b9c96-c482-4caa-8a03-b9dc3c513c2b,2261
32,1,1,OK,OK
32,4,1,OK,OK
32,4,2,OK,OK,b2c1bfe4-3e74-4f91-967b-103c42d0c8eb,1140
32,4,4,OK,OK,ac9daa9f-d62d-4db5-8515-ae855eebbff6,491
32,16,4,OK,OK,0b0067a4-7b86-4b5c-aa94-1f2badbf5721,3453
32,16,8,OK,OK,abf5af37-dd5f-4d83-9f95-7ee56e79e53c,3229
32,16,16,OK,OK,c2f9a0c9-d512-48b0-87de-8ddf6d6cea20,2271
32,64,16,OK,OK,c02c9243-d975-4fb8-896f-dbff9d1307b1,15252
32,64,32,OK,OK,a4984f0b-eb58-4efa-b905-d0bbc3acac21,12078
32,64,64,OK,OK,0df78978-57bd-4f88-bc46-e9b6f8165fb3,8464
48,1,1,OK,OK
48,4,1,OK,OK
48,4,2,OK,OK,721ff5a1-2ac4-4ca2-bb22-3ff1edc56cab,2617
48,4,4,OK,OK,4ad53592-677c-4c63-b12c-d677e77fcfa8,1112
48,16,4,OK,OK,b5f0bea9-46fe-4310-b8d6-e87a526afae7,3312
48,16,8,OK,OK,f83eb520-7564-4365-86cd-6723191d0dea,3280
48,16,16,OK,OK,8b48b478-b53e-444b-be59-c6ce07050592,2355
48,36,9,OK,OK,945ad644-5aa3-4f2a-bda4-9275736ea5d6,7339
48,36,18,OK,OK,c07f5356-3b09-4751-9a00-439d1ecdfb24,8029
48,36,36,OK,OK,1ba487bf-6d88-4223-84a4-adb2b32a6c31,4433
48,64,16,OK,OK,cd6414fe-9eb5-4271-9d1c-95b310cedb98,13886
48,64,32,OK,OK,96f3e488-8e80-4ade-9c28-3b76df6d40a4,12319
48,64,64,OK,OK,42422508-ece8-4663-b8c7-08249a9cc54b,8501
64,1,1,OK,OK
64,4,1,OK,OK
64,4,2,OK,OK,9de475a2-7d1f-4a0a-bac5-49b55a6c8bf5,6083
64,4,4,OK,OK,578eed46-af92-49f4-bba8-7b8617d28399,3980
64,16,4,OK,OK,f5bea0df-8cf2-4a40-9676-f9bf00e9fa7d,3631
64,16,8,OK,OK,d2ee2968-2a4e-4048-8c77-9fb08baae163,3371
64,16,16,OK,OK,c6ab6edb-d9d2-4e8c-970b-be83972a0fa6,2615
64,64,16,OK,OK,bc182c65-faa7-4831-aaaf-5df71712ba37,13291
64,64,32,OK,OK,a737bc9b-4bda-4bb2-9292-b723d0205bb8,12506
64,64,64,OK,OK,b50aa98d-b08e-4278-bcbd-9d24c8e791c9,8749
80,1,1,OK,OK
80,4,1,OK,OK
80,4,2,OK,OK,227fb495-ddc9-4562-bd44-df0aa38364c6,17099
80,4,4,OK,OK,b9fc3392-079e-4515-b82e-4a67c392bd6e,8845
80,16,4,OK,OK,97126336-4e14-49e2-8e64-724cf9528e5c,3970
80,16,8,OK,OK,102aecd5-f215-4cfa-b8e1-69ae395336da,3418
