mapID,mapSize,chunkCount,numberOfWorkers,startTime,endTime,totalDuration
051a4665-81db-4d23-88d2-d89bf244c513,16,1,1,2025-06-12 19:46:54.171000,2025-06-12 19:46:54.482000,311
153be751-ec63-4811-b3c0-db71a31d041d,32,4,2,2025-06-12 17:23:58.289000,2025-06-12 17:23:59.550000,1261
17f67b89-b6fd-42f4-a20e-8236a52ec824,16,4,1,2025-06-12 19:47:39.522000,2025-06-12 19:47:41.402000,1880
19891f8c-3e33-40c2-a6cd-10022985acc1,192,4,1,2025-06-13 01:10:21.060000,2025-06-13 01:31:48.444000,1287384
1a24128e-007f-478f-acfd-671e5d807bd4,224,4,1,2025-06-13 06:55:06.362000,2025-06-13 07:35:28.249000,2421887
1a663ced-3968-4cdd-a1d0-f31b7f92f6c7,240,1,1,2025-06-13 07:36:13.558000,,
20ba1fcf-6eb2-474d-a3fe-db177b0e9414,160,4,1,2025-06-12 21:56:59.732000,2025-06-12 22:07:00.677000,600945
2904dfd8-0623-41d3-8638-763042fb694a,144,4,2,2025-06-12 17:33:42.558000,2025-06-12 17:36:53.736000,191178
2c531d1c-8619-4477-822a-02e923c3e945,224,4,2,2025-06-12 18:20:12.289000,2025-06-12 18:41:04.850000,1252561
31ed4806-3989-4baa-94b6-f4d42d53f335,208,4,1,2025-06-13 03:23:34.952000,2025-06-13 03:52:25.284000,1730332
3b1597f4-51b6-4c88-8be1-60a399735e33,176,4,1,2025-06-12 23:38:19.235000,2025-06-12 23:53:27.122000,907887
44e384c3-a83f-44f0-a98e-da8abf499173,32,1,1,2025-06-12 19:48:24.892000,2025-06-12 19:48:27.674000,2782
45182b07-d37f-421d-b3f7-0c8bbab44b8b,192,1,1,2025-06-12 23:54:13.968000,2025-06-13 01:09:32.001000,4518033
4a0856b6-5265-48ef-87cd-f9bdffd380c0,80,4,1,2025-06-12 19:58:03.737000,2025-06-12 19:58:34.650000,30913
5c932016-9bc5-4957-a7c7-f2802bb6488e,128,4,2,2025-06-12 17:30:56.476000,2025-06-12 17:32:52.552000,116076
61aa3a80-ac43-4453-a5cb-27bbfcbf263c,112,4,2,2025-06-12 17:28:55.708000,2025-06-12 17:30:05.921000,70213
64a7f091-2be2-4e42-a60a-a12502448ebd,96,4,2,2025-06-12 17:27:30.078000,2025-06-12 17:28:06.490000,36412
6bd31da4-6584-4251-88df-47b1de42c6f7,112,4,1,2025-06-12 20:17:35.023000,2025-06-12 20:19:55.364000,140341
7ae19ede-4327-4720-b072-e2b92d12f3cf,128,1,1,2025-06-12 20:20:46.095000,2025-06-12 20:35:22.446000,876351
7b975d4a-8acb-4a16-81dc-04201fe5d368,160,4,2,2025-06-12 17:37:44.028000,2025-06-12 17:43:05.038000,321010
7d9db6a8-0c6a-4912-90fd-cd328417e051,256,4,2,2025-06-12 19:09:11.996000,2025-06-12 19:44:35.836000,2123840
925c0223-e5a2-4414-8c47-2b9896b74a14,128,4,1,2025-06-12 20:36:10.718000,2025-06-12 20:39:58.664000,227946
a01b300e-8020-4863-ad7f-9b8e51586b0b,208,1,1,2025-06-13 01:32:32.716000,2025-06-13 03:22:42.280000,6609564
a5e86559-30b3-4ee1-a201-511d0beec1dc,192,4,2,2025-06-12 17:52:18.726000,2025-06-12 18:03:00.984000,642258
a6881928-9978-442e-b694-446939c55233,96,4,1,2025-06-12 20:05:06.106000,2025-06-12 20:06:22.536000,76430
a76adf58-fcd5-464f-9711-547c7babe96d,144,1,1,2025-06-12 20:40:47.201000,2025-06-12 21:03:27.443000,1360242
ac244cfc-5745-4818-8083-7ada89c8d6ba,48,1,1,2025-06-12 19:50:00.641000,2025-06-12 19:50:18.506000,17865
b00a5d95-80f6-4ebc-96cc-2a356124fa85,176,4,2,2025-06-12 17:43:51.004000,2025-06-12 17:51:29.668000,458664
b24cf0fe-e0e8-48ac-8a6d-080006476af6,64,4,2,2025-06-12 17:25:29.085000,2025-06-12 17:25:35.284000,6199
b99bd82d-3baf-4bab-8b6a-0cd8c97aa90d,240,4,2,2025-06-12 18:41:53.840000,2025-06-12 19:08:26.633000,1592793
b9cc87fa-2671-40a0-8d48-b267b545c3f4,48,4,2,2025-06-12 17:24:43.686000,2025-06-12 17:24:45.802000,2116
bf854239-0d34-41c6-a32f-9453d843f5be,64,4,1,2025-06-12 19:53:32.111000,2025-06-12 19:53:45.786000,13675
c1af2fd3-2a0f-42ec-ab6d-6a1bc2c22a2d,80,4,2,2025-06-12 17:26:24.561000,2025-06-12 17:26:41.935000,17374
ce3a6515-971b-47e0-815d-04c974951208,224,1,1,2025-06-13 03:53:08.761000,2025-06-13 06:54:14.852000,10866091
ced1c8e1-05ca-4db9-9112-527820b03406,16,4,2,2025-06-12 17:23:12.889000,2025-06-12 17:23:13.887000,998
d0924c6a-0015-438d-9b1d-38fa91d70923,176,1,1,2025-06-12 22:07:48.022000,2025-06-12 23:37:24.759000,5376737
d46fc600-bd79-452c-9647-65917e2499b9,48,4,1,2025-06-12 19:51:06.088000,2025-06-12 19:51:09.931000,3843
da569d89-2b4d-4f08-ade2-e8395327b787,144,4,1,2025-06-12 21:04:14.150000,2025-06-12 21:10:39.962000,385812
dd3a968b-ea3e-4104-9e8d-28820029f5bc,208,4,2,2025-06-12 18:03:47.258000,2025-06-12 18:19:25.739000,938481
e7cc515c-ba38-40a2-8bd7-857ef25f1ad1,96,1,1,2025-06-12 19:59:24.293000,2025-06-12 20:04:16.741000,292448
eacb4217-abb6-4fd0-8a65-83b30cc8498d,64,1,1,2025-06-12 19:51:51.459000,2025-06-12 19:52:47.858000,56399
ec2740b3-aa8e-4586-b5c9-6811c469c451,32,4,1,2025-06-12 19:49:15.285000,2025-06-12 19:49:17.591000,2306
fad80144-8fe2-4ac1-b45b-4dc34033796c,112,1,1,2025-06-12 20:07:11.874000,2025-06-12 20:16:49.834000,577960
fb940910-6e95-459d-bdfd-e965e4617715,80,1,1,2025-06-12 19:54:32.560000,2025-06-12 19:57:12.118000,159558
fc8b7558-ab05-4928-97ef-61acababac30,160,1,1,2025-06-12 21:11:26.403000,2025-06-12 21:56:08.424000,2682021
