mapID,mapSize,chunkCount,numberOfWorkers,startTime,endTime,totalDuration
017aec15-dd7c-42bd-8519-6a87705af075,176,256,64,2025-06-11 21:31:22.296000,2025-06-11 21:32:18.356000,56060
01fcc907-4d48-4594-9912-22538ff7e1ad,32,4,4,2025-06-11 18:01:04.247000,2025-06-11 18:01:04.922000,675
036180e0-cf65-4432-a4d1-34d8f4d6b9c1,176,256,128,2025-06-11 22:09:10.591000,2025-06-11 22:10:09.692000,59101
036a8097-9b1f-49fe-bce8-b0c19763a690,192,144,144,2025-06-11 22:23:52.046000,2025-06-11 22:24:16.937000,24891
062883f8-48d3-4621-a9c7-864cd8f52299,32,16,16,2025-06-11 20:07:31.920000,2025-06-11 20:07:34.240000,2320
06a8bf16-f62e-4296-a05c-c3308eff6bdd,160,256,256,2025-06-11 22:38:52.254000,2025-06-11 22:39:40.329000,48075
0aca3acd-ef18-4010-b8e9-6ae466177cf3,128,256,128,2025-06-11 22:03:15.270000,2025-06-11 22:04:11.290000,56020
0aeca05b-9d40-4b7c-a0e4-68faf91acc66,256,16,16,2025-06-11 20:33:59.588000,2025-06-11 20:34:59.574000,59986
0bd8ac4a-4483-40a8-a363-1877b537616f,64,16,8,2025-06-11 19:45:39.211000,2025-06-11 19:45:42.176000,2965
0d0f29fa-95a4-40b3-ab66-f8533b8b5e39,48,64,16,2025-06-11 20:10:08.379000,2025-06-11 20:10:23.856000,15477
0f069cc8-0cf2-40ff-b0a9-7f39ae7f4569,192,64,32,2025-06-11 20:54:10.129000,2025-06-11 20:54:23.057000,12928
0f242573-12f6-4bb7-acc4-f44cd217a589,128,16,16,2025-06-11 20:16:42.202000,2025-06-11 20:16:45.676000,3474
0f3c28c5-92c8-4c20-b150-8cdb4e463d08,192,256,64,2025-06-11 21:34:20.665000,2025-06-11 21:35:16.092000,55427
10922c15-1447-41bf-b241-6e5f54d4cf34,64,64,64,2025-06-11 21:16:25.062000,2025-06-11 21:16:34.227000,9165
11bbf91e-2f7f-4ef2-bd9d-5fb3270c1497,64,4,4,2025-06-11 18:04:10.888000,2025-06-11 18:04:14.376000,3488
11f6ca01-fd50-42c8-807f-358826fe763b,240,100,50,2025-06-11 21:11:51.876000,2025-06-11 21:12:12.162000,20286
136c5ca8-2af5-4c7e-8efc-9af3a8c14e00,176,64,16,2025-06-11 20:23:27.106000,2025-06-11 20:23:42.588000,15482
1475f4d4-1935-4c69-9dc8-6f971225196e,112,256,128,2025-06-11 22:01:23.448000,2025-06-11 22:02:18.088000,54640
14f444cc-51cf-4911-b34c-c1607e1ddb75,240,16,16,2025-06-11 20:31:27.765000,2025-06-11 20:32:13.170000,45405
1c16d491-c30e-46a3-9230-d660b67219f1,80,64,64,2025-06-11 21:17:30.778000,2025-06-11 21:17:39.467000,8689
1c981daa-a06b-4372-af14-e21a8d381e38,160,256,64,2025-06-11 21:28:34.662000,2025-06-11 21:29:27.761000,53099
1d3667c8-73a1-45ad-b9da-c7393841cc43,160,64,32,2025-06-11 20:52:03.318000,2025-06-11 20:52:16.071000,12753
215fce28-91de-4368-975a-a1942d4a21d6,128,64,16,2025-06-11 20:17:27.838000,2025-06-11 20:17:41.408000,13570
22753219-f3bb-4a21-b76d-d4f7214ea8df,224,196,49,2025-06-11 21:07:47.852000,2025-06-11 21:08:32.321000,44469
2685480f-b4a3-43ca-b4b2-a4ce2560a816,96,36,36,2025-06-11 21:01:31.536000,2025-06-11 21:01:36.442000,4906
