SIZE,PARTS,WORKER,uuid,total
32,1,1,0bc8475c-f5ac-41be-ab78-626d2cda382d,2755
32,4,1,02be2f60-33b2-4ab6-8eab-60531b7e30f1,1108
32,4,2,4fc63c24-c76d-4b17-a069-20576d66757a,199889
32,4,4,18334e4b-bb83-4ab5-b135-8c7ded9a2ea8,512
32,16,1,2faa1dc7-8179-4548-809d-a33e67ac68da,9259
32,16,2,c5a5096a-f508-45a9-b11c-9f409be266d4,5258
32,16,4,10a8f1c0-38ec-455c-99b8-f02a36bb5da8,3269
32,16,8,52a05ab7-b21d-4648-91c8-b0796a76e6a4,3086
32,16,16,1fbc6cec-5095-453c-a232-5b2adb767272,2013
32,64,1,f3f90704-ddf0-4f19-b065-dd4352e76959,34751
32,64,2,487cf418-41a8-4215-9a37-ac53c23aa54f,19565
32,64,4,2e6082eb-f5eb-45e0-8082-f15ed7faaa2d,13407
32,64,8,e4611dcc-3ed8-4c8c-b977-fde2e78800b9,11846
32,64,16,03f97f97-ef20-476c-be59-7efa45e1ca29,13689
32,64,32,89bf5594-4ef6-4efb-b87a-dffd93abd12d,11628
32,64,64,60dc0545-e423-4312-afaf-9f20e65236fb,7688
64,1,1,52c90749-ae38-458c-849b-1c2474ec8364,46529
64,4,1,6fb83a62-a8e6-4aef-b832-ca821675e35d,10091
64,4,2,f7927edc-8227-4ab4-935f-f11c518d7149,7864
64,4,4,d66fe23f-3a2b-4daf-b7bf-ae8a8b8677e0,2207
64,16,1,eaeab578-ca3a-42e5-bb56-cdf884ac821b,10621
64,16,2,5223c48d-c6c0-46c8-8afa-8ad58b91c950,5385
64,16,4,34824b2a-b215-434d-be02-7413517c5411,3440
64,16,8,554b75d2-7c9a-4e8a-b580-52d9a2227830,3081
64,16,16,d9704d3b-2f8a-469b-a08b-c7563b6a35d7,2381
64,64,1,f6cbeedd-a31b-4849-a969-2e16fada7f00,36634
64,64,2,9967e3e3-da5b-4858-9353-f75496665b02,22014
64,64,4,f9e9c11f-0173-45a1-a76e-e3a1cd095f0e,13571
64,64,8,1c15889a-8b5a-4143-99a1-b73901b1ac86,11749
64,64,16,9a14dddd-de6e-439d-b3c7-3700bb5e2f24,12591
