mapID,mapSize,chunkCount,numberOfWorkers,startTime,endTime,totalDuration
02be2f60-33b2-4ab6-8eab-60531b7e30f1,32,4,1,2025-05-26 15:13:12.037000,2025-05-26 15:13:13.145000,1108
03ed6b49-e02b-4d9b-82a1-20eb06de10e3,64,256,4,2025-05-26 16:15:04.848000,2025-05-26 16:15:58.367000,53519
0bc8475c-f5ac-41be-ab78-626d2cda382d,32,1,1,2025-05-26 15:12:56.677000,2025-05-26 15:12:59.432000,2755
10a8f1c0-38ec-455c-99b8-f02a36bb5da8,32,16,4,2025-05-26 16:13:37.712000,2025-05-26 16:13:40.981000,3269
11488355-92f0-4cd9-a2e1-830f2dfe98eb,128,16,4,2025-05-26 16:16:56.124000,2025-05-26 16:17:06.727000,10603
168ea06f-f8fc-493d-a0c3-165cc35a356b,128,1024,8,2025-05-26 17:57:53.710000,2025-05-26 18:01:05.597000,191887
18334e4b-bb83-4ab5-b135-8c7ded9a2ea8,32,4,4,2025-05-26 16:13:22.373000,2025-05-26 16:13:22.885000,512
1c15889a-8b5a-4143-99a1-b73901b1ac86,64,64,8,2025-05-26 17:55:49.344000,2025-05-26 17:56:01.093000,11749
22a543fd-2716-4100-a0a6-c496e1b029c4,128,4,4,2025-05-26 16:15:35.369000,2025-05-26 16:16:42.758000,67389
23a47092-5b95-4c4e-ab1e-89b306ee4d7a,256,1024,4,2025-05-26 16:42:41.275000,2025-05-26 16:47:10.233000,268958
23acd5bb-3e8c-4a49-acd0-4afa10d0eae8,128,1024,4,2025-05-26 16:18:03.603000,2025-05-26 16:21:47.298000,223695
29a72fcb-0c60-4ccf-8185-1d998fa1cda2,128,64,1,2025-05-26 15:33:46.877000,2025-05-26 15:34:45.244000,58367
2e6082eb-f5eb-45e0-8082-f15ed7faaa2d,32,64,4,2025-05-26 16:13:53.086000,2025-05-26 16:14:06.493000,13407
2faa1dc7-8179-4548-809d-a33e67ac68da,32,16,1,2025-05-26 15:13:27.383000,2025-05-26 15:13:36.642000,9259
34824b2a-b215-434d-be02-7413517c5411,64,16,4,2025-05-26 16:14:28.838000,2025-05-26 16:14:32.278000,3440
36def87d-2f1c-41cc-bc87-b63b125b3549,128,1,1,2025-05-26 15:19:16.443000,2025-05-26 15:30:32.826000,676383
487cf418-41a8-4215-9a37-ac53c23aa54f,32,64,2,2025-05-26 15:45:49.400000,2025-05-26 15:46:11.916000,22516
4fc63c24-c76d-4b17-a069-20576d66757a,32,4,2,2025-05-26 15:42:02.780000,2025-05-26 15:45:22.669000,199889
4fd3032e-9fc1-41fc-847f-ad40c53806a9,128,256,4,2025-05-26 16:17:27.405000,2025-05-26 16:18:20.080000,52675
5223c48d-c6c0-46c8-8afa-8ad58b91c950,64,16,2,2025-05-26 15:46:30.257000,2025-05-26 15:46:35.642000,5385
52934e1a-3f49-4d05-8e55-f4cfc279c347,256,16,8,2025-05-26 17:59:40.147000,2025-05-26 18:02:29.781000,169634
52a05ab7-b21d-4648-91c8-b0796a76e6a4,32,16,8,2025-05-26 17:55:03.120000,2025-05-26 17:55:06.206000,3086
52c90749-ae38-458c-849b-1c2474ec8364,64,1,1,2025-05-26 15:14:18.265000,2025-05-26 15:15:04.794000,46529
539e9b7c-4a0d-4bd1-840d-11b078efa1a7,128,16,2,2025-05-26 15:49:42.718000,2025-05-26 15:50:24.318000,41600
554b75d2-7c9a-4e8a-b580-52d9a2227830,64,16,8,2025-05-26 17:55:33.887000,2025-05-26 17:55:36.968000,3081
5a3afdd8-8817-4c7f-bdb9-7f714b4aefeb,128,64,8,2025-05-26 17:57:11.182000,2025-05-26 17:57:22.397000,11215
60d845e9-6ad5-4b5d-b597-1be8d4f380ee,256,16,4,2025-05-26 16:34:29.413000,2025-05-26 16:40:25.157000,355744
69b7d295-6f41-4b94-afc5-7fd168488af6,128,256,8,2025-05-26 17:57:27.132000,2025-05-26 17:58:11.631000,44499
6fb83a62-a8e6-4aef-b832-ca821675e35d,64,4,1,2025-05-26 15:15:18.846000,2025-05-26 15:15:28.937000,10091
7117b551-1a45-4d78-bd33-38914fd9a4dd,64,256,8,2025-05-26 17:56:10.016000,2025-05-26 17:56:53.312000,43296
80eba9b9-7458-4c72-9ca0-35616ffe5992,128,4,2,2025-05-26 15:48:06.884000,2025-05-26 15:50:13.760000,126876
840cfbbb-dc62-4e89-9722-b1f99541d8e8,128,16,8,2025-05-26 17:56:55.597000,2025-05-26 17:57:00.814000,5217
9967e3e3-da5b-4858-9353-f75496665b02,64,64,2,2025-05-26 15:46:45.653000,2025-05-26 15:47:07.667000,22014
9a47d0c6-f573-47d8-b249-4866a32283bc,64,256,2,2025-05-26 15:47:16.287000,2025-05-26 15:48:44.417000,88130
9edf1824-3e8c-47d8-89bb-722bc07450aa,128,1024,2,2025-05-26 15:51:50.755000,2025-05-26 15:57:47.320000,356565
ae9759ff-452e-49c5-9f95-9a691375d372,256,64,4,2025-05-26 16:38:36.372000,2025-05-26 16:41:28.062000,171690
b4d248bd-1f45-406d-8fe1-e3f615cffc16,256,256,8,2025-05-26 18:02:53.836000,2025-05-26 18:03:39.631000,45795
ba70ab67-8669-4a19-b919-6c485cda21bf,128,4,1,2025-05-26 15:30:45.041000,2025-05-26 15:33:27.411000,162370
bafedc06-11dc-4925-afaa-50658d798cf8,128,1024,1,2025-05-26 15:35:19.510000,2025-05-26 15:45:21.307000,601797
be644f52-d7fe-46ea-b2ce-733bcb99a5ea,64,256,1,2025-05-26 15:16:35.364000,2025-05-26 15:19:10.732000,155368
c5a5096a-f508-45a9-b11c-9f409be266d4,32,16,2,2025-05-26 15:45:34.036000,2025-05-26 15:45:39.294000,5258
ce0096bc-386e-4dcf-9b73-7326bb11b18c,256,256,4,2025-05-26 16:40:58.217000,2025-05-26 16:43:01.560000,123343
d66fe23f-3a2b-4daf-b7bf-ae8a8b8677e0,64,4,4,2025-05-26 16:14:13.470000,2025-05-26 16:14:15.677000,2207
e02a298a-7ed2-4731-a048-730c137afac5,256,4,4,2025-05-26 16:19:09.479000,2025-05-26 16:34:17.210000,907731
e1223bd1-5df8-420e-bb9a-efbda49a1209,128,64,4,2025-05-26 16:17:11.650000,2025-05-26 16:17:26.082000,14432
e4611dcc-3ed8-4c8c-b977-fde2e78800b9,32,64,8,2025-05-26 17:55:18.512000,2025-05-26 17:55:30.358000,11846
e9abe6a2-2876-4f4e-af23-cbcc4561c2bb,128,64,2,2025-05-26 15:50:28.361000,2025-05-26 15:50:52.314000,23953
ea3631e8-f682-4b01-8ae9-057b59145c93,256,1024,8,2025-05-26 18:03:21.436000,,
eaeab578-ca3a-42e5-bb56-cdf884ac821b,64,16,1,2025-05-26 15:15:39.272000,2025-05-26 15:15:49.893000,10621
f3b2bd3b-0801-46de-ae42-0f49f9e5f2ff,128,256,1,2025-05-26 15:34:32.956000,2025-05-26 15:37:21.995000,169039
f3f90704-ddf0-4f19-b065-dd4352e76959,32,64,1,2025-05-26 15:13:42.780000,2025-05-26 15:14:20.343000,37563
f6472536-139f-4f92-8134-53a8078846d4,256,64,8,2025-05-26 18:01:51.894000,2025-05-26 18:02:42.094000,50200
f6b0ea28-aace-4e2d-b815-6b8ae02c66ea,128,16,1,2025-05-26 15:32:20.932000,2025-05-26 15:34:03.068000,102136
f6cbeedd-a31b-4849-a969-2e16fada7f00,64,64,1,2025-05-26 15:15:54.686000,2025-05-26 15:16:31.320000,36634
f7927edc-8227-4ab4-935f-f11c518d7149,64,4,2,2025-05-26 15:46:09.801000,2025-05-26 15:46:17.665000,7864
