mapID,mapSize,chunkCount,numberOfWorkers,startTime,endTime,totalDuration
1e14f4a8-134e-4dd6-a05a-a99033c36dcf,256,256,128,2025-05-27 14:25:29.173000,2025-05-27 14:30:06.271000,277098
27650054-47b4-4307-a113-8457fe30d3cc,64,256,128,2025-05-27 14:22:59.016000,2025-05-27 14:23:54.226000,55210
2debfddd-1450-4a43-a2e5-ac19c554e0b0,256,256,64,2025-05-27 14:18:24.843000,2025-05-27 14:19:23.340000,58497
307c2cee-4001-4064-9a96-b1c82d7ff5c8,128,256,128,2025-05-27 14:24:05.279000,2025-05-27 14:24:45.362000,40083
60dc0545-e423-4312-afaf-9f20e65236fb,32,64,64,2025-05-27 14:12:00.969000,2025-05-27 14:12:08.657000,7688
6eec91ae-708d-4998-a7f9-3a758503342e,128,1024,128,2025-05-27 14:24:58.004000,2025-05-27 14:28:57.915000,239911
70f1b702-ed2d-41f3-9228-366b830fe458,256,1024,128,2025-05-27 14:29:49.924000,2025-05-27 14:33:54.061000,244137
9459a6ed-863f-45ab-b7b7-214b35f9603c,128,256,64,2025-05-27 14:14:08.431000,2025-05-27 14:15:09.660000,61229
95cbd23c-b2b9-4552-951e-24f3e1ad5fcd,128,1024,64,2025-05-27 14:14:53.933000,2025-05-27 14:18:03.121000,189188
99a82834-0e4b-4181-bf6c-e1efaf3155ad,128,64,64,2025-05-27 14:13:06.795000,2025-05-27 14:13:59.649000,52854
a4d4967d-b87b-4441-8b0e-792b4c09ab8a,64,64,64,2025-05-27 14:12:21.600000,2025-05-27 14:12:29.638000,8038
a5a11f9f-3c40-476d-8ef5-749cadf36956,64,256,256,2025-05-27 14:34:54.950000,2025-05-27 14:35:22.078000,27128
a679e207-19c4-4dd1-a4dc-3af8e1b2b9b8,256,64,64,2025-05-27 14:17:31.783000,2025-05-27 14:18:14.087000,42304
b5acddee-a563-4b9f-9cbd-30ae11a69ec3,128,256,256,2025-05-27 14:35:36.209000,2025-05-27 14:36:08.121000,31912
d00d3d2c-61af-4ed3-8c4d-04f2aa860944,256,1024,64,2025-05-27 14:19:38.327000,2025-05-27 14:22:21.492000,163165
d577092c-c2f8-42e4-9f6e-d35df701064a,64,256,64,2025-05-27 14:12:42.535000,2025-05-27 14:13:47.443000,64908
