mapID,mapSize,chunkCount,numberOfWorkers,startTime,endTime,totalDuration
0350694e-ada2-4d9b-b8d9-b1a3837be796,128,64,16,2025-05-27 12:15:39.045000,2025-05-27 12:15:55.294000,16248
03f97f97-ef20-476c-be59-7efa45e1ca29,32,64,16,2025-05-27 12:13:29.042000,2025-05-27 12:13:42.731000,13689
1fbc6cec-5095-453c-a232-5b2adb767272,32,16,16,2025-05-27 12:13:13.543000,2025-05-27 12:13:15.557000,2013
33ca0999-45c1-4f7f-a8ae-22cdcf56b307,256,256,16,2025-05-27 12:21:17.406000,2025-05-27 12:22:14.370000,56964
36ae6cdc-a196-46a8-a1ae-f5a8fcf9a31e,256,64,16,2025-05-27 12:20:56.103000,2025-05-27 12:21:12.872000,16769
3ec63a59-6f48-4c7f-882f-93e8ad8a4f28,64,256,16,2025-05-27 12:14:25.547000,2025-05-27 12:15:24.818000,59271
4df3aff0-e5d7-4f82-85c2-929eae18a5c2,32,64,32,2025-05-27 12:23:13.613000,,
4f777002-cb52-4f05-966a-c0fceb1081cc,256,1024,16,2025-05-27 12:22:10.331000,2025-05-27 12:25:04.161000,173830
5abe8806-aff3-477c-9c15-b3bc3a2a7167,128,256,16,2025-05-27 12:15:54.857000,2025-05-27 12:16:43.199000,48342
6ac28d23-8937-42d3-a0a1-7454f469a6d1,256,16,16,2025-05-27 12:18:38.711000,2025-05-27 12:20:46.705000,127994
78354163-037e-40ee-8690-7c683886c39a,128,1024,16,2025-05-27 12:16:21.886000,2025-05-27 12:20:06.968000,225082
9a14dddd-de6e-439d-b3c7-3700bb5e2f24,64,64,16,2025-05-27 12:14:10.002000,2025-05-27 12:14:28.166000,18164
c7ae734f-77ba-424b-912e-b63d23c02b45,128,16,16,2025-05-27 12:14:52.095000,2025-05-27 12:15:29,36905
d9704d3b-2f8a-469b-a08b-c7563b6a35d7,64,16,16,2025-05-27 12:13:54.499000,2025-05-27 12:13:56.880000,2381
