mapID,mapSize,chunkCount,numberOfWorkers,startTime,endTime,totalDuration
2604b1cb-fcf1-4b3a-97db-40ce9aa9be39,64,16,2,2025-02-20 15:25:06.021000,2025-02-20 15:25:20.069000,14048
3fd872fc-1514-4091-a159-e5d6748009a7,81,9,2,2025-02-20 15:37:52.173000,2025-02-20 15:38:04.539000,12366
5362380d-9fbb-4385-8395-3f46ecad04ae,9,9,2,2025-02-20 15:37:03.165000,2025-02-20 15:37:12.473000,9308
59c03aa8-7c2b-436c-b66f-27053cf49ced,64,16,2,2025-02-19 14:14:01.648000,2025-02-19 14:14:16.681000,15033
6159d22b-8ab4-4742-8ddd-622d0c55eac4,64,16,2,2025-02-20 15:24:38.332000,2025-02-20 15:24:52.979000,14647
67d5691a-a543-4e07-b6b6-3649ad08039b,64,16,2,2025-02-20 15:14:32.471000,,
8227cd5d-ad66-4cfc-b518-0607326005a1,4,16,2,2025-02-20 15:33:09.457000,2025-02-20 15:33:24.328000,14871
9ad99948-0d6b-4e34-b43d-9faabd04edf3,64,64,2,2025-02-20 15:35:22.579000,2025-02-20 15:36:13.769000,51190
b5be0d86-fe31-4520-97aa-45cffcc5000e,64,16,2,2025-02-19 13:52:19.587000,2025-02-19 13:52:35.059000,15472
bb851620-0c2f-42f8-a23a-177ab8cb5dc2,32,4,2,2025-02-20 15:34:07.371000,2025-02-20 15:34:10.392000,3021
ce0a134d-4607-4118-b1b0-ba6fba43a33f,64,16,2,2025-05-04 12:55:47.777000,2025-05-04 12:56:01.563000,13786
d6a6fee0-7af5-4479-baf5-861a1a3af89d,16,4,2,2025-02-20 15:38:30.351000,2025-02-20 15:38:33.138000,2787
fcd02b89-3f95-42c5-a2e9-1895619baf77,4,4,2,2025-02-20 15:32:20.368000,2025-02-20 15:32:22.759000,2391
fe818241-3268-4fcf-9a2d-5c3dd14e70ba,1024,8,2,2025-02-20 15:48:43.497000,,
